Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_4,36,86,2.7598,37.1255,0.9789,0.0,0.0457
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_5,81,131,2.4579,1.2401,0.8546,0.0,0.1185
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_6,64,114,3.4166,-2.6858,0.9853,0.0,0.047
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_all,53,103,2.7756,23.4482,0.9967,0.0,0.0179
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_1,36,86,3.7307,35.4575,0.973,0.0,0.0703
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_2,1,51,2.9817,90.1236,0.9711,0.0,0.0581
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_3,30,80,3.3032,59.0247,0.9357,0.0,0.0988
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_4,0,50,3.2078,108.5358,0.9693,0.0,0.0646
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_5,20,70,4.2602,36.7271,0.9897,0.0,0.0489
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_6,76,126,3.9872,-8.6068,0.958,0.0,0.0947
Bei11,375AR,M,Day,072924A,1,Bei11_375AR_M_Day_072924A_all,2,52,2.7056,85.8225,0.9961,0.0,0.019
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_1,64,114,2.8793,72.0015,0.9679,0.0,0.0594
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_2,70,120,3.2233,10.5561,0.9829,0.0,0.048
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_3,44,94,2.7274,60.243,0.9476,0.0,0.073
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_4,0,50,2.4302,69.5188,0.9742,0.0,0.0447
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_5,11,61,3.0807,72.2838,0.9755,0.0,0.0552
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_6,23,73,4.6071,44.2058,0.9878,0.0,0.0576
Bei11,375AR,M,Day,072924A,2,Bei11_375AR_M_Day_072924A_all,26,76,2.6757,74.2742,0.9922,0.0,0.0267
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_1,12,62,3.2364,46.4785,0.9670000000000001,0.0,0.0676
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_2,13,63,3.1169,34.0944,0.9911,0.0,0.0332
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_3,59,109,2.6379,49.5813,0.9615,0.0,0.0599
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_4,4,54,3.7276,75.2187,0.9859,0.0,0.0502
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_5,21,71,3.4488,79.0267,0.9744,0.0,0.0631
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_6,10,60,3.4135,42.7192,0.9921,0.0,0.0343
Bei11,375AR,M,Day,072924A,3,Bei11_375AR_M_Day_072924A_all,12,62,3.0598,60.1991,0.9932,0.0,0.0285
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_1,74,124,1.3788,-0.8540000000000001,0.9824,0.0,0.0208
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_2,86,136,1.3297,29.9853,0.9867,0.0,0.0174
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_3,37,87,1.6254,11.515999999999998,0.975,0.0,0.0294
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_4,38,88,1.9192,46.833,0.9862,0.0,0.0256
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_5,14,64,1.6877,54.0266,0.9537,0.0,0.0422
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_6,17,67,1.8371,39.5003,0.9025,0.0,0.0696
Bei11,OreAC,F,Day,072924A,1,Bei11_OreAC_F_Day_072924A_all,74,124,1.5777,24.1068,0.9872,0.0,0.0202
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_1,54,104,0.5866,41.2241,0.9522,0.0,0.0149
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_2,83,133,1.0742,25.6138,0.9768,0.0,0.0187
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_3,69,119,1.0337,19.2719,0.9669,0.0,0.0216
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_4,92,142,2.0119,-31.1672,0.9803,0.0,0.0322
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_5,71,121,1.7044,15.0689,0.9765,0.0,0.0299
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_6,56,106,1.055,24.9556,0.9793,0.0,0.0173
Bei11,OreAC,F,Day,072924A,2,Bei11_OreAC_F_Day_072924A_all,92,142,1.1635,19.9179,0.993,0.0,0.011000000000000001
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_1,72,122,0.8384,23.1003,0.968,0.0,0.0173
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_2,92,142,1.3723,18.0902,0.977,0.0,0.0238
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_3,87,137,2.2064,-38.4547,0.9919,0.0,0.0224
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_4,85,135,2.767,-42.4482,0.9885,0.0,0.0336
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_5,61,111,1.5043,10.3534,0.9672,0.0,0.0313
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_6,92,142,2.0945,-28.3475,0.9707,0.0,0.0411
Bei11,OreAC,F,Day,072924A,3,Bei11_OreAC_F_Day_072924A_all,86,136,1.6196,-0.3072,0.9958,0.0,0.0118
