Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
Bei54,375,F,070423R,2,Bei54_375A_F_070423R__6,33,83,2.2896,75.7925,0.9704,0,0.0453,R,A,6
Bei54,375,F,070423R,2,Bei54_375B_F_070423R__1,61,111,4.9383,-20.3083,0.9912,0,0.0524,R,B,1
Bei54,375,F,070423R,2,Bei54_375B_F_070423R__2,11,61,3.5469,30.208,0.9925,0,0.0347,R,B,2
Bei54,375,F,070423R,2,Bei54_375B_F_070423R__3,79,129,3.2051,47.7636,0.991,0,0.0343,R,B,3
Bei54,375,F,070423R,2,Bei54_375B_F_070423R__4,21,71,4.4471,45.8551,0.9934,0,0.0409,R,B,4
Bei54,375,F,070423R,2,Bei54_375B_F_070423R__5,5,55,2.9025,43.1441,0.9919,0,0.0295,R,B,5
Bei54,375,F,070423R,2,Bei54_375B_F_070423R__6,85,135,3.9019,-15.5931,0.9848,0,0.0546,R,B,6
Bei54,375,F,070423R,3,Bei54_375A_F_070423R__1,12,62,1.8725,36.7356,0.9799,0,0.0303,R,A,1
Bei54,375,F,070423R,3,Bei54_375A_F_070423R__2,8,58,2.8944,40.2422,0.9931,0,0.0271,R,A,2
Bei54,375,F,070423R,3,Bei54_375A_F_070423R__3,76,126,3.0557,47.795,0.9831,0,0.0452,R,A,3
Bei54,375,F,070423R,3,Bei54_375A_F_070423R__4,50,100,2.7211,54.9152,0.9877,0,0.0342,R,A,4
Bei54,375,F,070423R,3,Bei54_375A_F_070423R__5,54,104,3.1091,0.851,0.9915,0,0.0324,R,A,5
Bei54,375,F,070423R,3,Bei54_375A_F_070423R__6,65,115,3.7487,-19.768,0.9793,0,0.0615,R,A,6
Bei54,375,F,070423R,3,Bei54_375B_F_070423R__1,83,133,3.2643,68.4212,0.9967,0,0.021,R,B,1
Bei54,375,F,070423R,3,Bei54_375B_F_070423R__2,43,93,2.6323,64.83,0.9915,0,0.0275,R,B,2
Bei54,375,F,070423R,3,Bei54_375B_F_070423R__3,25,75,3.9069,34.2312,0.9946,0,0.0323,R,B,3
Bei54,375,F,070423R,3,Bei54_375B_F_070423R__4,20,70,3.0625,33.3199,0.9911,0,0.0327,R,B,4
Bei54,375,F,070423R,3,Bei54_375B_F_070423R__5,87,137,4.1479,-28.195,0.9911,0,0.0443,R,B,5
Bei54,375,F,070423R,3,Bei54_375B_F_070423R__6,69,119,4.5574,-33.568,0.9866,0,0.0598,R,B,6
Bei54,375,F,70323,1,Bei54_375A_F_070323__1,10,60,4.4006,38.4146,0.9708,0,0.0864,C,A,1
Bei54,375,F,70323,1,Bei54_375A_F_070323__2,0,50,4.2635,56.9526,0.9846,0,0.06,C,A,2
Bei54,375,F,70323,1,Bei54_375A_F_070323__3,52,102,2.47,9.9234,0.97,0,0.0491,C,A,3
Bei54,375,F,70323,1,Bei54_375A_F_070323__4,60,110,3.0656,36.8274,0.9957,0,0.0226,C,A,4
Bei54,375,F,70323,1,Bei54_375A_F_070323__5,16,66,1.5201,54.1694,0.9552,0,0.0374,C,A,5
Bei54,375,F,70323,1,Bei54_375A_F_070323__6,39,89,2.9014,13.0099,0.9741,0,0.0534,C,A,6
Bei54,375,F,70323,1,Bei54_375B_F_070323__1,58,108,4.2928,31.8211,0.9975,0,0.0239,C,B,1
Bei54,375,F,70323,1,Bei54_375B_F_070323__2,26,76,3.9249,75.9278,0.9908,0,0.0425,C,B,2
