Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc,Set_adj,Pos_adj,Total_treat,Y_adj,Larval_density
45A,5,Control,2,11.82,A,100,sm21_375,sm21,375,11.1182279598313,10.9056854257238,82.1832669322709,11.6074574658925,1.21679270893931
45B,1,Control,2,12.1222222222222,B,45,sm21_375,sm21,375,11.1182279598313,10.9056854257238,82.1832669322709,11.9096796881147,0.547556719022688
45B,3,Control,2,11.8717948717949,B,78,sm21_375,sm21,375,11.1182279598313,10.9056854257238,82.1832669322709,11.6592523376874,0.949098312972659
45B,5,Control,2,11.9603174603175,B,63,sm21_375,sm21,375,11.1182279598313,10.9056854257238,82.1832669322709,11.74777492621,0.766579406631763
46A,1,Control,2,11.6975308641975,A,81,yak_375,yak,375,11.1182279598313,10.9056854257238,82.1832669322709,11.48498833009,0.985602094240838
46A,3,Control,2,11.6333333333333,A,105,yak_375,yak,375,11.1182279598313,10.9056854257238,82.1832669322709,11.4207907992258,1.27763234438627
46A,5,Control,2,12,A,70,yak_375,yak,375,11.1182279598313,10.9056854257238,82.1832669322709,11.7874574658925,0.851754896257514
46B,1,Control,2,12.2894736842105,B,38,yak_375,yak,375,11.1182279598313,10.9056854257238,82.1832669322709,12.076931150103,0.462381229396936
46B,3,Control,2,12.1511627906977,B,43,yak_375,yak,375,11.1182279598313,10.9056854257238,82.1832669322709,11.9386202565902,0.523220864843902
46B,5,Control,2,11.5909090909091,B,22,yak_375,yak,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3783665568016,0.267694395966647
Ore,1,Control,2,11.3717948717949,parental,156,Ore_Ore,Ore,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.1592523376874,1.89819662594532
Ore,3,Control,2,11.1493506493506,parental,154,Ore_Ore,Ore,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9368081152431,1.87386077176653
Ore,5,Control,2,11.2553956834532,parental,139,Ore_Ore,Ore,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.0428531493457,1.69134186542564
375,1,Control,2,11.3108108108108,parental,37,375_375,375,375,11.1182279598313,10.9056854257238,82.1832669322709,11.0982682767033,0.450213302307543
375,3,Control,2,11.5769230769231,parental,52,375_375,375,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3643805428156,0.632732208648439
375,5,Control,2,11.8285714285714,parental,70,375_375,375,375,11.1182279598313,10.9056854257238,82.1832669322709,11.6160288944639,0.851754896257514
10A,1,Control,2,11.6744186046512,A,86,ZW144_375,ZW144,375,11.1182279598313,10.9056854257238,82.1832669322709,11.4618760705437,1.0464417296878
10A,3,Control,2,11.825,A,80,ZW144_375,ZW144,375,11.1182279598313,10.9056854257238,82.1832669322709,11.6124574658925,0.973434167151445
10A,5,Control,2,11.5733944954128,A,109,ZW144_375,ZW144,375,11.1182279598313,10.9056854257238,82.1832669322709,11.3608519613053,1.32630405274384
4A,1,Rotenone,2,11.2372881355932,A,118,ZW133_Ore,ZW133,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9971207824329,1.71078700361011
4A,3,Rotenone,2,11.3181818181818,A,121,ZW133_Ore,ZW133,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0780144650215,1.75428158844765
4A,5,Rotenone,2,11.492,A,125,ZW133_Ore,ZW133,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.2518326468397,1.81227436823105
4B,1,Rotenone,2,11.2788461538462,B,104,ZW133_Ore,ZW133,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0386788006859,1.50781227436823
4B,3,Rotenone,2,11.0227272727273,B,88,ZW133_Ore,ZW133,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.782559919567,1.27584115523466
4B,5,Rotenone,2,11.1929824561404,B,114,ZW133_Ore,ZW133,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9528151029801,1.65279422382671
7A,1,Rotenone,2,11.1446280991736,A,121,ZH33_Ore,ZH33,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.9044607460133,1.75428158844765
7A,3,Rotenone,2,11.1,A,105,ZH33_Ore,ZH33,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.8598326468397,1.52231046931408
7A,5,Rotenone,2,11.2777777777778,A,108,ZH33_Ore,ZH33,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0376104246175,1.56580505415162
7B,1,Rotenone,2,11.2692307692308,B,104,ZH33_Ore,ZH33,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.0290634160705,1.50781227436823
7B,3,Rotenone,2,11.3545454545455,B,110,ZH33_Ore,ZH33,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.1143781013852,1.59480144404332
7B,5,Rotenone,2,11.1370967741935,B,124,ZH33_Ore,ZH33,Ore,11.4197530919691,11.1795857388088,68.9741035856574,10.8969294210332,1.7977761732852
13A,1,Rotenone,2,11.8636363636364,A,77,ZW133_375,ZW133,375,11.4197530919691,11.1795857388088,68.9741035856574,11.6234690104761,1.11636101083032
13A,3,Rotenone,2,11.6694915254237,A,59,ZW133_375,ZW133,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4293241722634,0.855393501805054
13A,5,Rotenone,2,11.3543689320388,A,103,ZW133_375,ZW133,375,11.4197530919691,11.1795857388088,68.9741035856574,11.1142015788785,1.49331407942238
13B,1,Rotenone,2,11.7876712328767,B,73,ZW133_375,ZW133,375,11.4197530919691,11.1795857388088,68.9741035856574,11.5475038797164,1.05836823104693
13B,3,Rotenone,2,11.7142857142857,B,84,ZW133_375,ZW133,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4741183611254,1.21784837545126
13B,5,Rotenone,2,11.6529411764706,B,85,ZW133_375,ZW133,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4127738233103,1.23234657039711
16A,1,Rotenone,2,11.6315789473684,A,76,ZH33_375,ZH33,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3914115942081,1.10186281588448
16A,3,Rotenone,2,11.6363636363636,A,88,ZH33_375,ZH33,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3961962832033,1.27584115523466
16A,5,Rotenone,2,11.6682242990654,A,107,ZH33_375,ZH33,375,11.4197530919691,11.1795857388088,68.9741035856574,11.4280569459051,1.55130685920578
16B,1,Rotenone,2,11.6038961038961,B,77,ZH33_375,ZH33,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3637287507358,1.11636101083032
16B,3,Rotenone,2,11.6204819277108,B,83,ZH33_375,ZH33,375,11.4197530919691,11.1795857388088,68.9741035856574,11.3803145745505,1.20335018050542
16B,5,Rotenone,2,12.1805555555556,B,72,ZH33_375,ZH33,375,11.4197530919691,11.1795857388088,68.9741035856574,11.9403882023953,1.04387003610108
24A,1,Rotenone,2,11.695652173913,A,92,Bei23_Ore,Bei23,Ore,11.4197530919691,11.1795857388088,68.9741035856574,11.4554848207527,1.33383393501805
