Stock,Vial,7/18,7/19,7/20,7/21,7/22,7/23,7/24,Treatment
32A,5,0,0,0,0,3,14,30,Rotenone
45A,1,0,0,0,0,9,27,17,Rotenone
45A,3,0,0,0,0,5,22,19,Rotenone
45A,5,0,0,0,0,6,23,21,Rotenone
46A,1,0,0,0,0,21,20,20,Rotenone
46A,3,0,0,0,0,16,28,11,Rotenone
46A,5,0,0,0,0,3,46,26,Rotenone
3B,1,0,0,1,0,10,4,2,Rotenone
3B,3,0,0,0,0,29,5,4,Rotenone
3B,5,0,0,0,3,15,0,4,Rotenone
5B,1,0,0,0,0,13,3,3,Rotenone
5B,3,0,0,0,0,9,3,4,Rotenone
5B,5,0,0,0,0,9,8,3,Rotenone
21B,1,0,0,0,2,20,18,4,Rotenone
21B,3,0,0,0,0,25,10,11,Rotenone
21B,5,0,0,0,3,58,12,10,Rotenone
22B,1,0,0,0,2,35,4,6,Rotenone
22B,3,0,0,0,2,39,23,14,Rotenone
22B,5,0,0,0,6,24,4,12,Rotenone
41B,1,0,0,0,0,24,7,12,Rotenone
41B,3,0,0,0,2,23,24,5,Rotenone
41B,5,0,0,0,1,26,24,12,Rotenone
42B,1,0,0,0,0,13,2,2,Rotenone
42B,3,0,0,0,1,14,3,0,Rotenone
42B,5,0,0,0,0,21,18,3,Rotenone
12B,1,0,0,0,0,12,22,11,Rotenone
12B,3,0,0,0,0,14,15,9,Rotenone
12B,5,0,0,0,0,16,18,9,Rotenone
14B,1,0,0,0,0,5,39,20,Rotenone
14B,3,0,0,0,0,11,36,8,Rotenone
14B,5,0,0,0,1,20,27,9,Rotenone
31B,1,0,0,0,0,26,22,22,Rotenone
31B,3,0,0,0,0,26,33,5,Rotenone
31B,5,0,0,0,0,21,21,10,Rotenone
32B,1,0,0,0,0,30,20,10,Rotenone
32B,3,0,0,0,0,29,18,5,Rotenone
32B,5,0,0,0,0,19,17,8,Rotenone
45B,1,0,0,0,0,20,20,7,Rotenone
45B,3,0,0,0,0,19,39,15,Rotenone
45B,5,0,0,0,0,18,23,7,Rotenone
46B,1,0,0,0,0,2,30,20,Rotenone
46B,3,0,0,0,0,1,42,26,Rotenone
46B,5,0,0,0,0,1,30,47,Rotenone
