"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0336100472042811
"F","375","Control",0.0384724761960739
"F","375","Control",0.0333065321357943
"F","375","Control",0.0410694047191357
"F","375","Control",0.0423269833434386
"F","375","Control",0.0310256660617968
"F","375","Control",0.0390995074695784
"F","375","Control",0.0308383689437202
"F","375","Control",0.0344413814628151
"F","375","Control",0.0304721058999967
"F","375","Control",0.0383532301396679
"F","375","Control",0.0353317096901232
"F","375","Control",0.0328234714283935
"F","375","Control",0.0308173884668776
"F","375","Control",0.0304411014946339
"F","375","Control",0.0363409604995921
"F","375","Control",0.0324745329631476
"F","375","Control",0.0318130618832885
"F","375","Control",0.0404457650313566
"F","375","Control",0.0335234114739211
"F","375","Control",0.0343791319726941
"F","375","Control",0.0325327705435585
"F","375","Control",0.0324747664676297
"F","375","Control",0.024213399689071
"F","375","Control",0.0325122390139548
"F","375","Control",0.0377730060266835
"F","375","Control",0.0374403028404291
"F","375","Control",0.035805002415798
"F","375","Control",0.0233913736137848
"F","375","Control",0.0380957099193967
"F","375","Control",0.0324915811106239
"F","375","Control",0.0328144227317212
"F","375","Control",0.0344631602574473
"F","375","Control",0.0399005362470633
"F","375","Control",0.038834025395359
"F","375","Control",0.0360627495622051
"F","375","Control",0.0326645178824283
"F","375","Control",0.0358824886145689
"F","375","Control",0.0345185215411883
"F","375","Control",0.0301054064650443
"F","375","Control",0.0340847542456578
"F","375","Control",0.0377939974506761
"F","375","Control",0.0344967846033661
"F","375","Control",0.0359921655924928
"F","375","Control",0.0355886919665153
"F","375","Control",0.033379644625764
"F","375","Control",0.0390061114488286
"F","375","Control",0.0422071150726568
"F","375","Control",0.0401731962416098
"F","375","Control",0.033614236334084
"F","375","Control",0.0359413698283865
"F","375","Control",0.036780235665181
"F","375","Control",0.0300620296261745
"F","375","Control",0.0407485644933094
"F","375","Control",0.0447162962496295
"F","375","Control",0.0286699518245947
"F","375","Control",0.0354002950694576
"F","375","Control",0.0307199281086221
"F","375","Control",0.030446611222784
"F","375","Control",0.0395472613288449
"F","375","Control",0.0332820141018691
"F","375","Control",0.0411103801583204
"F","375","Control",0.0369015757714144
"F","375","Control",0.0398917849131079
"F","375","Control",0.0395897221194522
"F","375","Control",0.0322597770351717
"F","375","Control",0.0364591124560719
"F","375","Control",0.0335110936788054
"F","375","Control",0.0320326136066109
"F","375","Control",0.0424312422931989
"F","375","Control",0.0407817066126989
"F","375","Control",0.031631263693176
"F","375","Control",0.0404903433434607
"F","375","Control",0.0391228274050283
"F","375","Control",0.040872293213749
"F","375","Control",0.0362829731955679
"F","375","Control",0.0299704185676072
"F","375","Control",0.0391928081325037
"F","375","Control",0.0354733479688276
"F","375","Control",0.0299471196997988
"F","375","Control",0.0309223617278481
"F","375","Control",0.032101087059516
"F","375","Control",0.0404598551691863
