"Mito","Nuc","Treatment","dev","weight_M","climb_M","flight_M","Mito_orig"
"Bei38","375","Control",11.4776009310772,0.69359696969697,3.67718333333333,0.828497942386831,"Bei"
"Bei38","375","Rotenone",11.5940606003398,0.669366666666668,3.32616111111111,0.848747723132969,"Bei"
"Bei38","Ore","Control",11.4430806376264,0.660265540015537,2.07225,0.757492225049477,"Bei"
"Bei38","Ore","Rotenone",11.8783047452172,0.743888888888892,2.27312222222222,0.744570298453794,"Bei"
"Bei42","375","Control",11.4502094356261,0.726866666666666,3.17999722222222,0.868174642794501,"Bei"
"Bei42","375","Rotenone",11.4204081964765,0.770151255589957,3.03846388888889,0.864289776766671,"Bei"
"Bei42","Ore","Control",10.8245898199023,0.839708537581695,2.58595277777778,0.746605149402535,"Bei"
"Bei42","Ore","Rotenone",11.0384710026693,0.876550505050507,3.04117777777778,0.733965613355632,"Bei"
"Bei52","375","Control",10.9635902577054,0.810121439628482,3.537775,0.872569840458305,"Bei"
"Bei52","375","Rotenone",11.5167574937094,0.77171818181818,3.42469722222222,0.853960429930855,"Bei"
"Bei52","Ore","Control",10.4344357984064,0.879558441558443,2.88223055555556,0.774398011690064,"Bei"
"Bei52","Ore","Rotenone",11.0947100707636,0.88076445374801,3.15725277777778,0.797109614362039,"Bei"
"Bei54","375","Control",11.1013364928179,1.14995016339869,3.45567222222222,0.864625726744186,"Bei"
"Bei54","375","Rotenone",11.3780563242794,0.944394736842104,3.56825555555556,0.85112540192926,"Bei"
"Bei54","Ore","Control",10.9348933829414,0.758956907894738,2.59669722222222,0.835325168918919,"Bei"
"Bei54","Ore","Rotenone",11.1297366593974,1.70583333333333,1.72375,0.820686353319463,"Bei"
"Bei59","375","Control",10.7412691316463,0.675098275713795,3.01086666666667,0.858292863175676,"Bei"
"Bei59","375","Rotenone",11.0798681113028,0.54632403097204,3.03942777777778,0.848082223242995,"Bei"
"Bei59","Ore","Control",10.654462045981,0.77629170401494,2.90009305555556,0.81805199795082,"Bei"
"Bei59","Ore","Rotenone",11.2450494056848,0.825405973266502,1.69230277777778,0.787716807097425,"Bei"
"Ore","Ore","Control",10.7149264036374,0.78934589994736,2.29358333333333,0.810214954221979,"Ore"
"Ore","Ore","Rotenone",10.8046375179598,0.863629003288379,2.26108395061728,0.816357838498346,"Ore"
"ZH23","375","Control",11.2770636670404,0.655134226884224,3.40998611111111,0.81770730907899,"Zim"
"ZH23","375","Rotenone",11.8791327984876,0.610080586080587,3.07938333333333,0.730570252792475,"Zim"
