"Mito","Nuc","Treatment","Sex","Y","se_value"
"Bei54","Ore","Control","M",2.7102918566376,0.116648370571227
"Bei54","Ore","Rotenone","F",1.20808373342121,0.0815186653083255
"Bei54","Ore","Rotenone","M",1.90292860294629,0.130410364579105
"Bei59","375","Control","F",3.04417086489899,0.0674703141692776
"Bei59","375","Control","M",3.14803421774871,0.0960789998136917
"Bei59","375","Rotenone","F",2.65551058527307,0.110105245097184
"Bei59","375","Rotenone","M",3.09789364924258,0.0892455632130796
"Bei59","Ore","Control","F",1.53536253156566,0.0737401844096859
"Bei59","Ore","Control","M",3.0372606066376,0.103798198870358
"Bei59","Ore","Rotenone","F",1.14867586305085,0.0834140631802285
"Bei59","Ore","Rotenone","M",1.75076864924258,0.11881943035994
"Ore","Ore","Control","F",1.46246563856154,0.0473592742833594
"Ore","Ore","Control","M",2.43920188696032,0.054559289357372
"Ore","Ore","Rotenone","F",1.32926788979981,0.0449100976127263
"Ore","Ore","Rotenone","M",2.17710581488044,0.0500670036433419
"ZH23","375","Control","F",3.50708660563973,0.150057631997293
"ZH23","375","Control","M",3.48849083324579,0.106185871414889
"ZH23","375","Rotenone","F",2.86841428897677,0.0872638372302028
"ZH23","375","Rotenone","M",3.15220360294628,0.10565976036466
"ZH23","Ore","Control","F",2.30505327230639,0.0836708404384857
"ZH23","Ore","Control","M",2.36934638880135,0.0832861964186676
"ZH23","Ore","Rotenone","F",1.66985873342122,0.0972887755005884
"ZH23","Ore","Rotenone","M",2.21734249183517,0.109908244351217
"ZH26","375","Control","F",2.93457642045454,0.118582400744436
"ZH26","375","Control","M",4.00320944923019,0.126287093284845
"ZH26","375","Rotenone","F",3.19687447416195,0.105280755365816
"ZH26","375","Rotenone","M",3.3521721214648,0.133484886514128
"ZH26","Ore","Control","F",1.6436057414422,0.195490275595342
"ZH26","Ore","Control","M",2.16717147063591,0.154425447330372
"ZH26","Ore","Rotenone","F",1.70263049268047,0.0925085765079074
"ZH26","Ore","Rotenone","M",2.85368045479814,0.239403409461636
"ZH33","375","Control","F",3.32556808712121,0.0856064780861895
"ZH33","375","Control","M",3.29433178719316,0.0733825464471811
"ZH33","375","Rotenone","F",2.69675792323603,0.0855787573116867
"ZH33","375","Rotenone","M",3.08694619553888,0.0772025323092632
"ZH33","Ore","Control","F",1.81726253156566,0.0722757441108892
"ZH33","Ore","Control","M",2.70005956497093,0.11145080415729
"ZH33","Ore","Rotenone","F",1.48090097879159,0.092883166384992
"ZH33","Ore","Rotenone","M",1.89487119553888,0.129307951723044
"ZH42","375","Control","F",3.50246530934343,0.0978198321989389
"ZH42","375","Control","M",3.53707056034131,0.115286845046922
"ZH42","375","Rotenone","F",3.00666151119899,0.129363796492811
"ZH42","375","Rotenone","M",3.47103693627961,0.127943707538594
"ZH42","Ore","Control","F",1.36207086489899,0.0953162583174941
"ZH42","Ore","Control","M",2.12621778256353,0.116101603954972
"ZH42","Ore","Rotenone","F",1.93991428897677,0.0782818768556785
"ZH42","Ore","Rotenone","M",2.21287860294628,0.107187761071201
"ZW09","375","Control","F",3.4522569760101,0.121909898186298
"ZW09","375","Control","M",3.11575505108205,0.126664140084625
"ZW09","375","Rotenone","F",3.05939507601381,0.0930994892108111
"ZW09","375","Rotenone","M",2.98576355664999,0.106746694198098
"ZW09","Ore","Control","F",1.93577440025253,0.0930285266500487
"ZW09","Ore","Control","M",2.56787208811908,0.165325532093196
"ZW09","Ore","Rotenone","F",1.99473008984257,0.123685663546049
"ZW09","Ore","Rotenone","M",2.75515520551039,0.152171393247913
"ZW133","375","Control","F",3.27321753156566,0.0808902187432267
"ZW133","375","Control","M",3.37617502657224,0.0750154342550242
"ZW133","375","Rotenone","F",2.47567975193973,0.0939479797490494
"ZW133","375","Rotenone","M",3.01349045479814,0.0785333742147715
"ZW133","Ore","Control","F",1.90842855720668,0.080044011256552
"ZW133","Ore","Control","M",3.0166512316376,0.0749057179800829
"ZW133","Ore","Rotenone","F",1.06322736768047,0.107589753832926
"ZW133","Ore","Rotenone","M",1.75053647331665,0.11444548135294
"ZW140","375","Control","F",3.4410569760101,0.107252475708652
"ZW140","375","Control","M",3.50693282885983,0.127418952352665
"ZW140","375","Rotenone","F",3.14972007601381,0.123223308599416
"ZW140","375","Rotenone","M",2.83574133442777,0.0980768027746847
"ZW140","Ore","Control","F",2.03107364267677,0.124310587372663
"ZW140","Ore","Control","M",2.86352449552649,0.119731584427518
"ZW140","Ore","Rotenone","F",1.96683952045825,0.0851327358907142
"ZW140","Ore","Rotenone","M",2.63744133442777,0.104169353205568
"ZW142","375","Control","F",3.07010142045455,0.0964187739273745
"ZW142","375","Control","M",3.2468856066376,0.068654623326993
"ZW142","375","Rotenone","F",3.0918564186064,0.11148793605158
"ZW142","375","Rotenone","M",3.03374087146481,0.0850060762256261
"ZW142","Ore","Control","F",2.10108614267677,0.092631992817066
"ZW142","Ore","Control","M",2.98367866219316,0.0843928483099756
"ZW142","Ore","Rotenone","F",1.31008928897677,0.0683617920863756
"ZW142","Ore","Rotenone","M",1.65997281590925,0.103178168282186
"ZW144","375","Control","F",3.30188614267677,0.0777607547240178
"ZW144","375","Control","M",3.72285470385983,0.082062236990841
"ZW144","375","Rotenone","F",3.06309634916195,0.0853897169876443
"ZW144","375","Rotenone","M",3.43076852459871,0.100353830526189
"ZW144","Ore","Control","F",2.67367642045455,0.0831920043935572
"ZW144","Ore","Control","M",2.86923907885982,0.158399739229606
"ZW144","Ore","Rotenone","F",1.18103095564344,0.0601725914269844
"ZW144","Ore","Rotenone","M",1.68528415850185,0.0939424421843642
"Zim53","375","Control","F",3.6224969760101,0.109589319697875
"Zim53","375","Control","M",4.15589518997093,0.139811960821987
"Zim53","375","Rotenone","F",3.37996891860639,0.122187486626115
"Zim53","375","Rotenone","M",4.21279156590925,0.151561829465052
"Zim53","Ore","Control","F",1.48401086489899,0.0581936860124083
"Zim53","Ore","Control","M",1.96908130108204,0.0740607738236393
"Zim53","Ore","Rotenone","F",1.54186891860639,0.0666685092536369
"Zim53","Ore","Rotenone","M",2.04099712146481,0.0704980609637405
"siI","375","Control","F",3.00888643728956,0.0493815485525765
"siI","375","Control","M",3.46666541680064,0.0586352645364575
"siI","375","Rotenone","F",2.85790024576689,0.0565649644749796
"siI","375","Rotenone","M",3.23343828658826,0.0583890619550848
"siI","Ore","Control","F",2.03539562920875,0.0457127227932576
"siI","Ore","Control","M",2.50009984234261,0.0595700946383518
"siI","Ore","Rotenone","F",1.81055117169282,0.0414403839459173
"siI","Ore","Rotenone","M",2.21698365695863,0.0543703424932519
"yak","375","Control","F",3.11526115810887,0.044465429270665
"yak","375","Control","M",3.30696882382409,0.0515934238903127
"yak","375","Rotenone","F",2.74630904206319,0.054706401654225
"yak","375","Rotenone","M",3.10861837918085,0.0613181187390072
"yak","Ore","Control","F",1.76752689884961,0.0502703690722306
"yak","Ore","Control","M",2.58392114540005,0.0827261391123955
"yak","Ore","Rotenone","F",1.85868450502615,0.0487248072790205
"yak","Ore","Rotenone","M",2.72619986066234,0.0539028887192697
