"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"ZW144","Ore","M","A","Control",0.509314484290909,"B",0.822054835168098
"ZW144","Ore","M","A","Rotenone",0.553731084552613,"B",0.380990888474173
"Zim53","375","F","A","Control",1.26162812864812,"B",0.953405906425886
"Zim53","375","F","A","Rotenone",1.25587649689662,"B",1.11297234549247
"Zim53","375","M","A","Control",0.791487019376437,"B",0.685877129266547
"Zim53","375","M","A","Rotenone",0.787170739260653,"B",0.737500409590318
"Zim53","Ore","F","A","Control",1.43712812864811,"B",1.41181616283615
"Zim53","Ore","F","A","Rotenone",1.23373857925871,"B",1.2200382795584
"Zim53","Ore","M","A","Control",0.737048069437488,"B",0.820808753198172
"Zim53","Ore","M","A","Rotenone",0.782712863802781,"B",0.865886245976158
"siI","375","F","A","Control",1.14193863260155,"B",1.04464787654345
"siI","375","F","A","Rotenone",1.09890341485829,"B",1.14026298824962
"siI","375","M","A","Control",0.687122594599501,"B",0.673508571681144
"siI","375","M","A","Rotenone",0.703737169274442,"B",0.69308176731951
"siI","Ore","F","A","Control",1.28534702562209,"B",1.25250212410892
"siI","Ore","F","A","Rotenone",1.27593753309725,"B",1.22457423628473
"siI","Ore","M","A","Control",0.77269899168442,"B",0.737956475908628
"siI","Ore","M","A","Rotenone",0.802961311427573,"B",0.824000490737906
"yak","375","F","A","Control",1.07688341038294,"B",1.08953092951655
"yak","375","F","A","Rotenone",1.1019706090995,"B",1.03244498794292
"yak","375","M","A","Control",0.698617548735052,"B",0.650269839980275
"yak","375","M","A","Rotenone",0.713755896993318,"B",0.833746545234595
"yak","Ore","F","A","Control",1.30044209938097,"B",1.30114039618203
"yak","Ore","F","A","Rotenone",1.3225829537671,"B",1.2798847023065
"yak","Ore","M","A","Control",0.817474853685767,"B",0.791277843008592
"yak","Ore","M","A","Rotenone",0.852094905720647,"B",0.862921836857502
