"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0807279490240193
"F","375","Control",0.0839027472994571
"F","375","Control",0.0670563531809918
"F","375","Control",0.0736748937980567
"F","375","Control",0.0539556006514343
"F","375","Control",0.0733337917507195
"F","375","Control",0.0907152815621335
"F","375","Control",0.0601912182436692
"F","375","Control",0.0793508728503792
"F","375","Control",0.0732251626721032
"F","375","Control",0.0629297229075188
"F","375","Control",0.0724321622303691
"F","375","Control",0.0573874886199732
"F","375","Control",0.0724682517484788
"F","375","Control",0.0660804694942584
"F","375","Control",0.0895164644107175
"F","375","Control",0.0810039006536388
"F","375","Control",0.064737654363372
"F","375","Control",0.0989593294462434
"F","375","Control",0.0820527983640231
"F","375","Control",0.0758047482723146
"F","375","Control",0.0698015562380753
"F","375","Control",0.0677866863257299
"F","375","Control",0.0674681346762087
"F","375","Control",0.0784524455923762
"F","375","Control",0.0780316005797081
"F","375","Control",0.0750221932544813
"F","375","Control",0.0841006915920221
"F","375","Control",0.0917908761672485
"F","375","Control",0.0767096547104195
"F","375","Control",0.0865157059672285
"F","375","Control",0.0706355134014051
"F","375","Control",0.0545916069269273
"F","375","Control",0.0701991518129204
"F","375","Control",0.0849786455124038
"F","375","Control",0.0642284117613514
"F","375","Control",0.0656330380668318
"F","375","Control",0.0690116707609255
"F","375","Control",0.0594117658512136
"F","375","Control",0.0717286603790884
"F","375","Control",0.0608225341277663
"F","375","Control",0.0734972429293225
"F","375","Control",0.0814263936565453
"F","375","Control",0.085536176860973
"F","375","Control",0.0715551488902222
"F","375","Control",0.0657771515341258
"F","375","Control",0.0768163951782633
"F","375","Control",0.0828077508251716
"F","375","Control",0.0823517340517428
"F","375","Control",0.0745062150952964
"F","375","Control",0.057727065656834
"F","375","Control",0.0694653441430425
"F","375","Control",0.0900762519458857
"F","375","Control",0.0645998373762218
"F","375","Control",0.0712877503455987
"F","375","Control",0.0760664855666472
"F","375","Control",0.0652382443958494
"F","375","Control",0.0813744324109298
"F","375","Control",0.079137153620712
"F","375","Control",0.077056673406021
"F","375","Control",0.0829157181778832
"F","375","Control",0.0682040849029093
"F","375","Control",0.0682830834067938
"F","375","Control",0.0795334037253425
"F","375","Control",0.0558625615132017
"F","375","Control",0.0671750929704204
"F","375","Control",0.0571045164001603
"F","375","Control",0.0671303380500163
"F","375","Control",0.0704635044201743
"F","375","Control",0.0729141401721628
"F","375","Control",0.0839985411824854
"F","375","Control",0.0807298405584423
"F","375","Control",0.0800146124373918
"F","375","Control",0.0773198416539644
"F","375","Control",0.0667963233880648
"F","375","Control",0.0616037290554851
"F","375","Control",0.0889135030562311
"F","375","Control",0.0799451061482007
"F","375","Control",0.0756063157219974
"F","375","Control",0.0785703520249703
"F","375","Control",0.0692476952965785
"F","375","Control",0.0704590718635957
"F","375","Control",0.0774196973839552
"F","375","Control",0.090639083685193
"F","375","Control",0.0650445979999559
"F","375","Control",0.0721052357099329
"F","375","Control",0.081083635658134
"F","375","Control",0.0836785576100867
"F","375","Control",0.0843906847373013
"F","375","Control",0.0673500582633621
"F","375","Control",0.0834376042039643
"F","375","Control",0.0692749366443063
"F","375","Control",0.0627039134920524
"F","375","Control",0.0898638264876479
"F","375","Control",0.0655850523677341
"F","375","Control",0.084234635067041
"F","375","Control",0.0624553850402597
"F","375","Control",0.0609967285273902
"F","375","Control",0.0601096031273904
"F","375","Control",0.056134941266214
"F","375","Control",0.062144930646949
"F","375","Control",0.0597741179919065
"F","375","Control",0.0771172408706709
"F","375","Control",0.0822406028384462
"F","375","Control",0.0739257951980187
"F","375","Control",0.0899592866296835
"F","375","Control",0.0719447347570844
"F","375","Control",0.0739340339100898
"F","375","Control",0.0842904697089888
"F","375","Control",0.0762492134325116
"F","375","Control",0.0791513111389296
"F","375","Control",0.0696749829731857
"F","375","Control",0.0902692801599581
"F","375","Control",0.0942740923615301
"F","375","Control",0.0702196089810685
"F","375","Control",0.0618664188387376
"F","375","Control",0.0583134564858709
"F","375","Control",0.0761540401227661
"F","375","Control",0.0852125131759836
"F","375","Control",0.0699724355591881
"F","375","Control",0.0844612059036111
"F","375","Control",0.0677656218140104
"F","375","Control",0.0796328048292361
"F","375","Control",0.0805070264396528
"F","375","Control",0.0822031723420155
"F","375","Control",0.0599989143814926
"F","375","Control",0.0739616807987053
"F","375","Control",0.0724917049641143
"F","375","Control",0.0710925707851326
"F","375","Control",0.0787247115984082
"F","375","Control",0.069508652514685
"F","375","Control",0.0590669952565085
"F","375","Control",0.0884985874297194
"F","375","Control",0.0574597788512508
"F","375","Control",0.0665566242437262
"F","375","Control",0.0622438355090875
"F","375","Control",0.0757285496109006
"F","375","Control",0.0824850726950151
"F","375","Control",0.0720510194962729
"F","375","Control",0.0715843880994183
"F","375","Control",0.0799655757511799
"F","375","Control",0.0690173682325381
"F","375","Control",0.0779915632059005
"F","375","Control",0.0849865578825271
"F","375","Control",0.0660915658391538
"F","375","Control",0.0728018349700553
"F","375","Control",0.0573705661664559
"F","375","Control",0.0805799037354265
"F","375","Control",0.0728807328332919
"F","375","Control",0.0570009132222068
"F","375","Control",0.0707704331289433
"F","375","Control",0.0650578060812282
"F","375","Control",0.0819830434548698
"F","375","Control",0.0775246625204527
"F","375","Control",0.0621497268943361
"F","375","Control",0.0902627763746834
"F","375","Control",0.0816345927009748
"F","375","Control",0.0721680251157032
"F","375","Control",0.0881257592824201
"F","375","Control",0.071331598670382
"F","375","Control",0.0946475897151522
"F","375","Control",0.0815769496672197
"F","375","Control",0.0560697177398258
"F","375","Control",0.0564021182322844
"F","375","Control",0.063654675273796
"F","375","Control",0.0698129982344914
"F","375","Control",0.0784203249491386
"F","375","Control",0.0622175011047196
"F","375","Control",0.0803325726701
"F","375","Control",0.0741194794323732
"F","375","Control",0.0929675979668594
"F","375","Control",0.0837807215558439
"F","375","Control",0.0858994836711072
"F","375","Control",0.0872011708046251
"F","375","Control",0.0818047557950719
"F","375","Control",0.0695684037011263
"F","375","Control",0.0583732019365427
"F","375","Control",0.0736418065472004
"F","375","Control",0.0729255640461998
"F","375","Control",0.0698593543746075
"F","375","Control",0.0856197564715288
"F","375","Control",0.0735685901041106
"F","375","Control",0.0745367551191763
"F","375","Control",0.0708848289446084
"F","375","Control",0.0639216070824958
"F","375","Control",0.0745083166371592
"F","375","Control",0.080698751940401
"F","375","Control",0.0828123981157963
"F","375","Control",0.0782956133603495
"F","375","Control",0.0755797455919398
"F","375","Control",0.0699591193083236
"F","375","Control",0.0741293988488079
"F","375","Control",0.0812756059617798
"F","375","Control",0.0704567529672504
"F","375","Control",0.0675147451031475
"F","375","Control",0.0749037833538218
"F","375","Control",0.0892177899538948
"F","375","Control",0.0789619724422683
"F","375","Control",0.0663849263123717
"F","375","Control",0.0643248007671635
"F","375","Control",0.0662458239718592
"F","375","Control",0.0687150672695093
"F","375","Control",0.0530721042415058
"F","375","Control",0.0618077810764469
"F","375","Control",0.0573794046676305
"F","375","Control",0.0781943645704522
"F","375","Control",0.068664317964575
"F","375","Control",0.0786217255349093
"F","375","Control",0.0690580075468922
"F","375","Control",0.0924805308948844
"F","375","Control",0.0570586112592589
"F","375","Control",0.083735167382277
"F","375","Control",0.0738901360406224
"F","375","Control",0.063212247471086
"F","375","Control",0.0781476259718216
"F","375","Control",0.081924165712003
"F","375","Control",0.0792347295242445
"F","375","Control",0.0828011943809976
"F","375","Control",0.0755648021361142
"F","375","Control",0.0757909123484237
"F","375","Control",0.0816659731932121
"F","375","Control",0.0593521014139384
"F","375","Control",0.0642743697553499
"F","375","Control",0.0705676862672137
"F","375","Control",0.089106165999017
"F","375","Control",0.0655367717402568
"F","375","Control",0.0639296280517512
"F","375","Control",0.0903194851683967
"F","375","Control",0.0801786585952822
"F","375","Control",0.0650718123274789
"F","375","Control",0.0883706006707432
"F","375","Control",0.0643284217676459
"F","375","Control",0.0674336543781269
"F","375","Control",0.0673536079759412
"F","375","Control",0.0766208990539634
"F","375","Control",0.0763721002928092
"F","375","Control",0.0716352203777058
"F","375","Control",0.0686935728368821
"F","375","Control",0.0794906701395342
"F","375","Control",0.0413026454730981
"F","375","Control",0.0842614079472862
"F","375","Control",0.0720251306434853
"F","375","Control",0.0747614893547009
"F","375","Control",0.062174521430471
"F","375","Control",0.0711636108955499
"F","375","Control",0.0748613544537909
"F","375","Control",0.07660754691455
"F","375","Control",0.0810813810062638
"F","375","Control",0.0793091218728231
"F","375","Control",0.0769981669819118
"F","375","Control",0.0790732013780137
"F","375","Control",0.0777448877494978
"F","375","Control",0.060488915065683
"F","375","Control",0.0570886524296202
"F","375","Control",0.0722202908712947
"F","375","Control",0.0602257200492322
"F","375","Control",0.0701186438992746
"F","375","Control",0.0827161409992307
"F","375","Control",0.0807824422056098
"F","375","Control",0.0666142935997487
"F","375","Control",0.0819353136911052
"F","375","Control",0.0763057606731201
"F","375","Control",0.0677075668043021
"F","375","Control",0.0836971912519748
"F","375","Control",0.0620727195572426
"F","375","Control",0.0749148526586318
"F","375","Control",0.0779207305764511
"F","375","Control",0.0795077912789404
"F","375","Control",0.0728715286430903
"F","375","Control",0.0844986271733064
"F","375","Control",0.0849660052984936
"F","375","Control",0.0740659625325016
"F","375","Control",0.068669929134037
"F","375","Control",0.0786833918450407
"F","375","Control",0.0815221058323064
"F","375","Control",0.0777052872831113
"F","375","Control",0.0721985037798709
"F","375","Control",0.0619052210950956
"F","375","Control",0.0796318781588497
"F","375","Control",0.0647089915282267
"F","375","Control",0.0796705619248068
"F","375","Control",0.0690793597271817
"F","375","Control",0.079754345637969
"F","375","Control",0.0685016118079447
"F","375","Control",0.0864059068734961
"F","375","Control",0.0866286769583459
"F","375","Control",0.0798537591213193
"F","375","Control",0.0737917207151797
"F","375","Control",0.092884576833637
"F","375","Control",0.0796343031573809
"F","375","Control",0.0706476057715813
"F","375","Control",0.0767194181002668
"F","375","Control",0.0596461948025863
"F","375","Control",0.0721696038225065
"F","375","Control",0.0711977357872698
"F","375","Control",0.0683075710768821
"F","375","Control",0.0769385128826802
"F","375","Control",0.0950089971475825
"F","375","Control",0.0833031418110186
"F","375","Control",0.061043454696934
"F","375","Control",0.0891518580789022
"F","375","Control",0.0845725820942522
"F","375","Control",0.0662448805733242
"F","375","Control",0.0809249208029827
"F","375","Control",0.0710116240381475
"F","375","Control",0.102063067423838
"F","375","Control",0.0723437057076979
"F","375","Control",0.0776268329109809
"F","375","Control",0.0790961691436836
"F","375","Control",0.0701459515080995
"F","375","Control",0.0712375760971141
"F","375","Control",0.056681676878267
"F","375","Control",0.0774439438607986
"F","375","Control",0.0905363197715657
"F","375","Control",0.0971950095741246
"F","375","Control",0.0847284194111294
