"Mito","Nuc","Treatment","dev","climb_F","flight_F","weight_F","Mito_orig"
"Bei42","Ore","Control",10.8245898199023,2.20911111111111,0.639566761511143,1.36251730769231,"Bei"
"Bei42","Ore","Rotenone",11.0384710026693,1.84168888888889,0.677475828238305,1.39204444444445,"Bei"
"Bei52","375","Control",10.9635902577054,3.17365,0.83118545040911,1.19152457264958,"Bei"
"Bei52","375","Rotenone",11.5167574937094,2.81735,0.807073494571868,1.12382205882353,"Bei"
"Bei52","Ore","Control",10.4344357984064,1.51873888888889,0.617796262066133,1.31856527777778,"Bei"
"Bei52","Ore","Rotenone",11.0947100707636,1.28699166666667,0.707571712192784,1.24818174603175,"Bei"
"Bei54","375","Control",11.1013364928179,3.35936944444444,0.829495614035088,0.87859129106188,"Bei"
"Bei54","375","Rotenone",11.3780563242794,3.291275,0.805924910156989,1.03564298245614,"Bei"
"Bei54","Ore","Control",10.9348933829414,1.68811388888889,0.756296992481203,1.12726694186447,"Bei"
"Bei54","Ore","Rotenone",11.1297366593974,1.12983333333333,0.756146675760824,1.02387649572649,"Bei"
"Bei59","375","Control",10.7412691316463,2.99322222222222,0.865515734265734,1.15176074340262,"Bei"
"Bei59","375","Rotenone",11.0798681113028,2.74450277777778,0.826418088877896,1.09283748538011,"Bei"
"Bei59","Ore","Control",10.654462045981,1.48441388888889,0.724373653017241,1.33895990601504,"Bei"
"Bei59","Ore","Rotenone",11.2450494056848,1.23766805555556,0.720643402055356,1.28906552005012,"Bei"
"Ore","Ore","Control",10.7149264036374,1.29589382716049,0.722865980415766,1.2583627518315,"Ore"
"Ore","Ore","Rotenone",10.8046375179598,1.3624012345679,0.721863732540857,1.41428285984848,"Ore"
"ZH23","375","Control",11.2770636670404,2.92986666666667,0.799537037037037,1.06399242424243,"Zim"
"ZH23","375","Rotenone",11.8791327984876,2.82473611111111,0.810138888888889,1.02764935064936,"Zim"
"ZH23","Ore","Control",11.2510961856264,1.72783333333333,0.679543314500942,1.03157070707071,"Zim"
"ZH23","Ore","Rotenone",11.6754340013253,1.62618055555556,0.689996834441279,1.15407037037037,"Zim"
"ZH26","375","Control",10.4911477733268,3.31946111111111,0.806347995811951,1.27438231213231,"Zim"
"ZH26","375","Rotenone",10.8803727547456,3.33845833333333,0.834548344187814,1.16452380952381,"Zim"
"ZH26","Ore","Control",10.7469599656485,1.70778888888889,0.685996679170744,1.16306515151516,"Zim"
"ZH26","Ore","Rotenone",10.8346826411588,1.75158333333333,0.73447158549157,1.15918333333334,"Zim"
"ZH33","375","Control",11.0567336902102,3.30710416666667,0.817306856695924,1.06948558049536,"Zim"
"ZH33","375","Rotenone",11.4854661296825,2.92850555555556,0.863922366929607,1.02361269005848,"Zim"
"ZH33","Ore","Control",10.6921642087354,1.79879861111111,0.716367596722332,1.23819240521175,"Zim"
"ZH33","Ore","Rotenone",10.9990892950462,1.71264861111111,0.705176848874598,1.16471693115278,"Zim"
"ZH42","375","Control",11.0944328927927,3.33783333333333,0.870861302980186,1.11905494505495,"Zim"
"ZH42","375","Rotenone",11.3006473716744,3.08732222222222,0.825460663123845,1.05589044289044,"Zim"
"ZH42","Ore","Control",10.857233855239,1.19743888888889,0.759454169837991,1.30237777777777,"Zim"
"ZH42","Ore","Rotenone",10.9929929701686,2.020575,0.733476754842418,1.16816876456877,"Zim"
"ZW09","375","Control",11.129523730146,3.14540833333333,0.775922315347024,1.33005884103641,"Zim"
"ZW09","375","Rotenone",11.4865619024723,2.94201388888889,0.79969245968513,1.26996729323308,"Zim"
"ZW09","Ore","Control",10.4655904047311,1.84343787878788,0.662203648637788,1.2161315424926,"Zim"
"ZW09","Ore","Rotenone",11.0015433082923,1.99704155844156,0.720881744564739,1.2543503041403,"Zim"
"ZW133","375","Control",11.0981054774381,3.22552,0.84846627407715,1.05485681718456,"Zim"
"ZW133","375","Rotenone",11.4295599958696,2.67721,0.849177621000119,1.06538671679198,"Zim"
"ZW133","Ore","Control",10.5369188555451,1.88567692307692,0.753188638799571,1.26496113493318,"Zim"
"ZW133","Ore","Rotenone",11.0526995230582,1.294975,0.704024933716929,1.18613981430024,"Zim"
"ZW140","375","Control",11.4066948629083,3.13420833333333,0.790827171903882,1.32339705882353,"Zim"
"ZW140","375","Rotenone",11.478992983955,3.03233888888889,0.823768089806591,1.35096428571429,"Zim"
"ZW140","Ore","Control",10.5364583333333,1.724225,0.693201587474176,1.35730158730159,"Zim"
"ZW140","Ore","Rotenone",10.7961270229539,1.84945833333333,0.725695839695679,1.35019487179487,"Zim"
"ZW142","375","Control",10.7372638373733,3.01915277777778,0.811234032846715,1.13491216030272,"Zim"
"ZW142","375","Rotenone",10.8289011047704,3.18084861111111,0.791434178172877,1.15308044486216,"Zim"
"ZW142","Ore","Control",10.7131418477539,2.0501375,0.737363591269841,1.13763121136174,"Zim"
"ZW142","Ore","Rotenone",10.979438891401,1.43253,0.724970052329614,1.22934397435898,"Zim"
"ZW144","375","Control",11.3433892351977,3.19519722222222,0.850473443259352,1.13901658850409,"Zim"
"ZW144","375","Rotenone",11.2204260598327,3.12760138888889,0.821317323151125,1.05683321866759,"Zim"
"ZW144","Ore","Control",10.8051909384187,2.53450277777778,0.75750625,1.01974999999999,"Zim"
"ZW144","Ore","Rotenone",11.025543449712,1.10278055555556,0.75602038722036,1.2311119047619,"Zim"
"Zim53","375","Control",11.6577619842522,3.38159722222222,0.861419854672507,1.09544444444444,"Zim"
"Zim53","375","Rotenone",11.3988013350937,3.39809444444444,0.842937954031202,1.2042615995116,"Zim"
"Zim53","Ore","Control",10.5673102606613,1.24311111111111,0.735734603017561,1.41239957264957,"Zim"
"Zim53","Ore","Rotenone",10.6797506523762,1.55999444444444,0.747928947838514,1.24672560772561,"Zim"
"siI","375","Control",11.1761062987623,2.88862575757576,0.804599002137485,1.11068824575714,"siI"
"siI","375","Rotenone",11.4549793696484,2.91893518518519,0.828106744544082,1.10520480097102,"siI"
"siI","Ore","Control",10.6167547445044,1.9211303030303,0.693477689667019,1.24449040446819,"siI"
"siI","Ore","Rotenone",11.0425264364184,1.87158611111111,0.704176401255122,1.25442205814882,"siI"
"yak","375","Control",11.3582541371526,2.98494722222222,0.819228296232086,1.08478123561223,"yak"
"yak","375","Rotenone",11.6726557604024,2.80734398148148,0.826514878112141,1.07500643684785,"yak"
"yak","Ore","Control",10.5900352900948,1.63721296296296,0.699260488468903,1.30276771673222,"yak"
"yak","Ore","Rotenone",11.0885124100831,1.91971944444444,0.74747314330209,1.32126608590037,"yak"
