"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"Zim53","Ore","A",7,"Rotenone","M",0.000782712863802781,1.35799759326113
"Zim53","Ore","A",7,"Control","M",0.000737048069437488,1.03832977829488
"Zim53","Ore","B",7,"Rotenone","M",0.000865886245976158,0.821564380264741
"Zim53","Ore","B",7,"Control","M",0.000820808753198172,0.575948548897938
"ZW140","Ore","A",3,"Rotenone","M",0.00077830580279198,0.343123947051745
"ZW140","Ore","A",3,"Control","M",0.000786783272976639,0.332590007110077
"ZW140","Ore","B",3,"Rotenone","M",0.00081133675517293,0.372120336943441
"ZW140","Ore","B",3,"Control","M",0.000806996723269036,0.693571844095403
"siI","Ore","A",4,"Rotenone","M",0.000807538373015776,1.15985559566787
"siI","Ore","A",6,"Control","M",0.000778377855392269,1.19245685476052
"siI","Ore","A",5,"Control","M",0.000783146623198541,0.709795746881262
"siI","Ore","A",9,"Control","M",0.000630917417942438,1.3993116152802
"siI","Ore","A",6,"Rotenone","M",0.000797444074721481,1.06320096269555
"siI","Ore","A",4,"Control","M",0.000701811747426152,0.827419042078728
"siI","Ore","A",9,"Rotenone","M",0.000754990857947758,1.53197593261131
"siI","Ore","A",3,"Rotenone","M",0.000815947281488723,0.734575210589651
"siI","Ore","A",7,"Control","M",0.000799603624993043,1.25329649020749
"siI","Ore","A",3,"Control","M",0.000820160809956343,0.766579406631763
"siI","Ore","A",7,"Rotenone","M",0.000758401508491412,1.45948495788207
"siI","Ore","A",5,"Rotenone","M",0.000829987248214657,1.15985559566787
"siI","Ore","A",2,"Control","M",0.0010266907716699,1.07483355956306
"siI","Ore","A",2,"Rotenone","M",0.000889642083486592,0.734575210589652
"siI","Ore","B",9,"Rotenone","M",0.000818957927054216,1.78327797833935
"siI","Ore","B",9,"Control","M",0.000723136716188053,1.50071100769181
"siI","Ore","B",3,"Rotenone","M",0.000761953421839604,0.77323706377858
"siI","Ore","B",3,"Control","M",0.00079710236236678,1.01399392411609
"siI","Ore","B",2,"Rotenone","M",0.000852907872960277,0.695913357400722
"siI","Ore","B",2,"Control","M",0.000560136886958117,0.936930385883267
"yak","Ore","A",5,"Control","M",0.000877811438013355,0.121679270893931
"yak","Ore","A",6,"Rotenone","M",0.000813760314037712,0.492938628158845
"yak","Ore","A",7,"Rotenone","M",0.000866120372960274,0.531600481347773
"yak","Ore","A",4,"Rotenone","M",0.000830367432844836,0.874724428399519
"yak","Ore","A",4,"Control","M",0.000819558755973174,0.648956111434296
"yak","Ore","A",9,"Control","M",0.000672329131048733,1.28168832008274
"yak","Ore","A",6,"Control","M",0.00080569979271421,0.799027212203477
"yak","Ore","A",2,"Rotenone","M",0.00102123616243396,0.715244283995186
"yak","Ore","A",7,"Control","M",0.00084717200106142,0.96126624006205
"yak","Ore","A",3,"Rotenone","M",0.000803726431286296,0.304462093862816
"yak","Ore","A",2,"Control","M",0.00112117489865402,0.778747333721157
"yak","Ore","A",3,"Control","M",0.000808980933795348,0.446157326611079
"yak","Ore","A",9,"Rotenone","M",0.000817616314853786,0.826397111913358
"yak","Ore","B",2,"Rotenone","M",0.000908206557170805,0.647586040914561
"yak","Ore","B",3,"Rotenone","M",0.000812650857737031,0.372120336943442
"yak","Ore","B",3,"Control","M",0.000806830002118332,0.462381229396936
"yak","Ore","B",9,"Control","M",0.000691472486168558,1.26952039299334
"yak","Ore","B",2,"Control","M",0.000864696097484431,1.03021782690195
"yak","Ore","B",9,"Rotenone","M",0.000791958316917763,1.50781227436823
"Zim53","375","A",7,"Rotenone","M",0.000787170739260653,1.18885198555957
"Zim53","375","A",7,"Control","M",0.000791487019376437,1.0464417296878
"Zim53","375","B",7,"Rotenone","M",0.000737500409590318,1.24684476534296
"Zim53","375","B",7,"Control","M",0.000685877129266547,0.693571844095404
"siI","375","A",3,"Rotenone","M",0.000702130614822057,0.720077015643803
"siI","375","A",6,"Control","M",0.000710736422750836,0.892314653222158
"siI","375","A",5,"Control","M",0.000682742960194875,1.10322538943831
"siI","375","A",7,"Rotenone","M",0.000714032277722185,0.995542719614921
"siI","375","A",2,"Rotenone","M",0.000646831557170803,0.434945848375451
"siI","375","A",6,"Rotenone","M",0.000714371425148836,0.657251504211793
"siI","375","A",5,"Rotenone","M",0.00078299274272015,1.03903730445247
"siI","375","A",9,"Control","M",0.000507247618443691,1.13972917070648
"siI","375","A",3,"Control","M",0.000725302362366778,0.863922823346907
"siI","375","A",4,"Control","M",0.000643946090860512,0.665180014220154
"siI","375","A",4,"Rotenone","M",0.000654803330280736,0.995542719614921
"siI","375","A",9,"Rotenone","M",0.0006443589548763,0.884389891696751
"siI","375","A",7,"Control","M",0.000744944894834312,0.803083187899941
"siI","375","B",3,"Control","M",0.000690838828532187,0.498885010665116
"siI","375","B",2,"Rotenone","M",0.000893539890504138,1.04387003610108
"siI","375","B",9,"Rotenone","M",0.000672178465774755,1.55613959085439
"siI","375","B",3,"Rotenone","M",0.000723365702541351,0.811898916967509
"siI","375","B",9,"Control","M",0.000643392856538926,1.30602417426152
"siI","375","B",2,"Control","M",0.000594619343098466,0.75441147954237
"yak","375","A",4,"Rotenone","M",0.000693700766178171,1.06320096269555
"yak","375","A",2,"Rotenone","M",0.000804331557170804,0.889222623345366
"yak","375","A",7,"Control","M",0.000679805645195058,0.665180014220154
"yak","375","A",4,"Control","M",0.000643009305423717,0.896370628918622
"yak","375","A",9,"Control","M",0.000815019172328402,1.09105746234891
"yak","375","A",6,"Control","M",0.000706511758526173,0.612452330166117
"yak","375","A",5,"Rotenone","M",0.000671196649924057,0.77323706377858
"yak","375","A",3,"Rotenone","M",0.00075836453295071,0.923051744885681
"yak","375","A",9,"Rotenone","M",0.000685325621542962,1.18401925391095
"yak","375","A",7,"Rotenone","M",0.000704610055499963,0.807066185318893
"yak","375","A",6,"Rotenone","M",0.000721445499222913,0.579927797833935
"yak","375","A",3,"Control","M",0.000718133314747732,0.888258677525694
"yak","375","A",2,"Control","M",0.000708452676431799,1.03832977829487
"yak","375","A",5,"Control","M",0.000657302178754096,1.09511343804538
"yak","375","B",3,"Control","M",0.000650380933795347,0.738187576756512
"yak","375","B",3,"Rotenone","M",0.000616531199617363,0.961713598074608
"yak","375","B",9,"Rotenone","M",0.000685855786294535,1.48848134777377
"yak","375","B",9,"Control","M",0.000588429698644191,1.24924051451102
"yak","375","B",2,"Control","M",0.000628663202747587,0.417765496735828
"yak","375","B",2,"Rotenone","M",0.00111877273364139,0.821564380264742
"ZW133","Ore","A",9,"Control","M",0.000632332789705175,1.18840087906406
"ZW133","Ore","A",9,"Rotenone","M",0.000718708024520104,1.03420457280385
"ZW133","Ore","A",2,"Rotenone","M",0.000789553779393023,1.75911432009627
"ZW133","Ore","A",2,"Control","M",0.000637452676431801,1.5818305216211
"ZW133","Ore","B",9,"Control","M",0.000639123668863858,1.09511343804538
"ZW133","Ore","B",9,"Rotenone","M",0.000780981207477494,0.82156438026474
"ZW133","Ore","B",2,"Rotenone","M",0.000886737572208401,1.47881588447653
