"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"ZW142","375","F","A","Control",3.30035419823233,"B",2.83984864267677
"ZW142","375","F","A","Rotenone",3.33215225193973,"B",2.85156058527307
"ZW142","375","M","A","Control",3.32531199552649,"B",3.16845921774871
"ZW142","375","M","A","Rotenone",3.29459364924258,"B",2.77288809368703
"ZW142","Ore","F","A","Control",2.05596530934344,"B",2.1462069760101
"ZW142","Ore","F","A","Rotenone",1.24631212848294,"B",1.40575502971751
"ZW142","Ore","M","A","Control",3.05305366219316,"B",2.91430366219316
"ZW142","Ore","M","A","Rotenone",1.90243809368703,"B",1.41750753813147
"ZW144","375","F","A","Control",3.31126993897306,"B",3.27373475378788
"ZW144","375","F","A","Rotenone",2.93220981366813,"B",3.45575595564344
"ZW144","375","M","A","Control",3.75707287515612,"B",3.62020018997094
"ZW144","375","M","A","Rotenone",3.44011050109443,"B",3.39962860294629
"ZW144","Ore","F","A","Control",2.60553475378788,"B",2.74181808712121
"ZW144","Ore","F","A","Rotenone",1.23413928897677,"B",1.1279226223101
"ZW144","Ore","M","A","Control",2.44188352330427,"B",3.29659463441538
"ZW144","Ore","M","A","Rotenone",1.81292860294629,"B",1.5576397140574
"Zim53","375","F","A","Control",3.38349419823232,"B",3.86149975378788
"Zim53","375","F","A","Rotenone",3.11168558527306,"B",3.64825225193973
"Zim53","375","M","A","Control",3.58660630108204,"B",4.72518407885982
"Zim53","375","M","A","Rotenone",3.64576378813148,"B",4.77981934368703
"Zim53","Ore","F","A","Control",1.40520530934344,"B",1.56281642045455
"Zim53","Ore","F","A","Rotenone",1.49498558527306,"B",1.58875225193973
"Zim53","Ore","M","A","Control",1.94302296774871,"B",1.99513963441538
"Zim53","Ore","M","A","Rotenone",2.1450860103537,"B",1.93690823257592
"siI","375","F","A","Control",3.05757866913179,"B",2.92367503156566
"siI","375","F","A","Rotenone",3.01262777277307,"B",2.54844519175455
"siI","375","M","A","Control",3.31514455435412,"B",3.73182692608205
