"dataset","term","n_mito_label","n","min","q1","median","q3","max","whisker_lower","whisker_upper","n_outliers","prop_sig"
"climbF","Mito:Treatment","k = 20",1000,7.25348591709648,11.5307065386159,12.6184007547232,13.5336393590992,14.8845838620771,8.77618291911915,14.8845838620771,7,1
"climbF","Nuc:Treatment","k = 5",1000,0.000140741383325098,0.238287804657618,0.622987531879398,1.36730805608378,5.68521258035108,0.000140741383325098,3.00722506686378,50,0.147
"climbF","Nuc:Treatment","k = 10",1000,0.000119219040333418,0.219640706294184,0.519762353121269,1.05221772121784,5.41880866068041,0.000119219040333418,2.27428541203926,46,0.083
"climbF","Nuc:Treatment","k = 15",1000,0.000527441866586519,0.135189143206566,0.344805509814655,0.71135012044809,2.54138052496188,0.000527441866586519,1.57235140280681,34,0.015
"climbF","Nuc:Treatment","k = 20",1000,8.08744744711672e-05,0.0609319451386201,0.169617570037014,0.308803417987932,1.2405150145537,8.08744744711672e-05,0.651758385668028,47,0
"climbM","Mito:Nuc","k = 5",1000,0.00249970757597297,0.4336767399891,0.745651549100793,1.07850467010522,2.04051491386967,0.00249970757597297,2.04051491386967,0,0.006
"climbM","Mito:Nuc","k = 10",1000,0.0800312431114257,0.710628301892639,1.10531479853085,1.49320424678748,2.58420622528299,0.0800312431114257,2.58420622528299,0,0.044
"climbM","Mito:Nuc","k = 15",1000,0.324505090217801,1.10551266536222,1.46272239287299,1.73241793872662,2.73017474151173,0.324505090217801,2.56875098230124,2,0.123
"climbM","Mito:Nuc","k = 20",1000,0.795441694772637,1.59993220510098,1.74186184364298,1.8846239102967,2.25221116842243,1.2368144179635,2.25221116842243,83,0.204
"climbM","Mito:Nuc:Treatment","k = 5",1000,0.0283444283627307,2.79855375358259,4.35994543173771,6.39695684790261,15.3962389549998,0.0283444283627307,11.3883528863462,13,0.866
"climbM","Mito:Nuc:Treatment","k = 10",1000,2.31800452952529,6.93856679571327,9.22824610976081,11.5305734938261,19.2789701945863,2.31800452952529,18.018256458276,5,1
"climbM","Mito:Nuc:Treatment","k = 15",1000,6.13866947855155,11.7246064577421,13.9467639745237,15.9232246014855,20.8815822560162,6.13866947855155,20.8815822560162,0,1
"climbM","Mito:Nuc:Treatment","k = 20",1000,12.4708565874934,16.8380683096023,18.7697184085615,19.566979969924,20.9185794648091,12.8502342207711,20.9185794648091,4,1
"climbM","Mito:Treatment","k = 5",1000,0.0106908020955873,1.60783528665276,2.9016076616182,4.62304102416504,14.6666569285318,0.0106908020955873,9.10583176333839,36,0.704
"climbM","Mito:Treatment","k = 10",1000,1.00265022945282,4.31244746664934,5.9284305321136,7.79989714247318,16.4950511641819,1.00265022945282,12.8305989878596,13,0.975
"climbM","Mito:Treatment","k = 15",1000,2.49857293313575,7.09536800149873,8.79899689552444,10.6851113485103,14.8186257418711,2.49857293313575,14.8186257418711,0,1
"climbM","Mito:Treatment","k = 20",1000,6.6684661186407,10.2352987283381,11.6114622825219,12.4961199266473,13.3709588127329,6.92756685242277,13.3709588127329,6,1
"climbM","Nuc:Treatment","k = 5",1000,0.000480018941447725,0.362878206277413,1.02561987603422,2.39382039577111,14.6917434649278,0.000480018941447725,5.39331706609741,65,0.311
"climbM","Nuc:Treatment","k = 10",1000,0.00135094625356839,0.381987196621176,0.990881614583771,2.12129719900907,13.5693462354944,0.00135094625356839,4.69366287600198,60,0.291
"climbM","Nuc:Treatment","k = 15",1000,0.00149992757746819,0.359781831365932,0.953900318429345,1.96232485735403,9.06169585169351,0.00149992757746819,4.36259391201108,57,0.261
"climbM","Nuc:Treatment","k = 20",1000,0.0068721838961654,0.62171249290366,1.02468407655145,1.68562469942753,3.74258129877842,0.0068721838961654,3.27952628792745,21,0.174
"weightF","Mito:Nuc","k = 5",1000,0.0019463390679978,0.239832705699023,0.501808978054024,0.955081423696827,7.7516452740126,0.0019463390679978,2.01979263386915,34,0.044
"weightF","Mito:Nuc","k = 10",1000,0.0328017643794837,0.306856158627576,0.584049484217788,1.02634260401632,7.72346959853392,0.0328017643794837,2.09173782050753,37,0.053
"weightF","Mito:Nuc","k = 15",979,0.0591413469919122,0.471131558783771,0.71218125261271,1.04700293867675,2.9112072729365,0.0591413469919122,1.90955882699593,39,0.0408580183861083
"weightF","Mito:Nuc","k = 20",1000,0.240559150792353,0.700084969508276,0.838963598828958,0.978220755804229,2.10926015345026,0.389934079301743,1.28650870273323,89,0.004
"weightF","Mito:Nuc:Treatment","k = 5",1000,0.00656921329698725,0.37366550943418,0.783905505147159,1.46783598453326,5.28867204970837,0.00656921329698725,3.04453802197002,34,0.164
"weightF","Mito:Nuc:Treatment","k = 10",1000,0.0682183519384013,0.666916408492892,1.21695029524248,1.87032711080975,4.4086658200295,0.0682183519384013,3.60089800794493,4,0.24
"weightF","Mito:Nuc:Treatment","k = 15",979,0.0939296331857149,1.01679972400777,1.56529998986808,2.03282689789065,4.24555203969558,0.0939296331857149,3.5112613715043,4,0.323799795709908
"weightF","Mito:Nuc:Treatment","k = 20",1000,0.607572919648616,1.59744360927857,1.89363404491031,2.10941853345657,2.76213345894833,0.845562020640663,2.76213345894833,22,0.492
"weightF","Mito:Treatment","k = 5",1000,0.00173236978655486,0.459634604773977,0.77795214747382,1.15899241132827,3.72761993842144,0.00173236978655486,2.19163882128202,16,0.044
"weightF","Mito:Treatment","k = 10",1000,0.0829051885997472,0.6937987684336,0.986819865797049,1.36156881490371,2.75039104917212,0.0829051885997472,2.32632991492785,8,0.034
"weightF","Mito:Treatment","k = 15",979,0.273788974055241,0.983546263093076,1.22661226941399,1.49565313248942,2.39177540399425,0.273788974055241,2.25244561639026,5,0.0337078651685393
