"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"yak","Ore","A",6,"Rotenone","F",0.00126772793989807,0.492938628158845
"yak","Ore","A",6,"Control","F",0.00122486303448302,0.799027212203477
"yak","Ore","A",9,"Control","F",0.00126450430802429,1.28168832008274
"yak","Ore","A",5,"Control","F",0.00127294080208578,0.121679270893931
"yak","Ore","A",4,"Control","F",0.00134030569830068,0.648956111434296
"yak","Ore","A",2,"Rotenone","F",0.00142194832229345,0.715244283995186
"yak","Ore","A",7,"Rotenone","F",0.00126351837723851,0.531600481347773
"yak","Ore","A",3,"Control","F",0.0013022929723871,0.446157326611079
"yak","Ore","A",7,"Control","F",0.00142575633377632,0.96126624006205
"yak","Ore","A",3,"Rotenone","F",0.00133526449277015,0.304462093862816
"yak","Ore","A",2,"Control","F",0.00125598321033544,0.778747333721157
"yak","Ore","B",9,"Rotenone","F",0.00119978711904022,1.50781227436823
"yak","Ore","B",9,"Control","F",0.00114745331326741,1.26952039299334
"yak","Ore","B",3,"Rotenone","F",0.00131416348266915,0.372120336943442
"yak","Ore","B",3,"Control","F",0.00133603561944595,0.462381229396936
"yak","Ore","B",2,"Control","F",0.00149224944410166,1.03021782690195
"yak","Ore","B",2,"Rotenone","F",0.00140201975086488,0.647586040914561
"Zim53","375","A",7,"Rotenone","F",0.00125587649689662,1.18885198555957
"Zim53","375","A",7,"Control","F",0.00126162812864812,1.0464417296878
"Zim53","375","B",7,"Control","F",0.000953405906425886,0.693571844095404
"Zim53","375","B",7,"Rotenone","F",0.00111297234549247,1.24684476534296
"siI","375","A",3,"Control","F",0.0011549179723871,0.863922823346907
"siI","375","A",4,"Rotenone","F",0.00103615470202482,0.995542719614921
"siI","375","A",9,"Rotenone","F",0.00100194616043455,0.884389891696751
"siI","375","A",6,"Control","F",0.00120546804058802,0.892314653222158
"siI","375","A",2,"Rotenone","F",0.00113723721118234,0.434945848375451
"siI","375","A",9,"Control","F",0.00111134564212878,1.13972917070648
"siI","375","A",3,"Rotenone","F",0.00112587197940117,0.720077015643803
"siI","375","A",5,"Control","F",0.00109936937351436,1.10322538943831
"siI","375","A",4,"Control","F",0.00106441497790996,0.665180014220154
"siI","375","A",6,"Rotenone","F",0.00111473130690143,0.657251504211793
"siI","375","A",7,"Rotenone","F",0.00104931837723851,0.995542719614921
"siI","375","A",7,"Control","F",0.00124440590642589,0.803083187899941
"siI","375","A",5,"Rotenone","F",0.00122925325717339,1.03903730445247
"siI","375","B",9,"Control","F",0.00110697655273864,1.30602417426152
"siI","375","B",3,"Control","F",0.00103524150179888,0.498885010665116
"siI","375","B",2,"Control","F",0.000932749444101665,0.75441147954237
"siI","375","B",9,"Rotenone","F",0.00109898427845688,1.55613959085439
"siI","375","B",2,"Rotenone","F",0.00112804832229344,1.04387003610108
"siI","375","B",3,"Rotenone","F",0.00114678848266913,0.811898916967509
"yak","375","A",5,"Control","F",0.0011094884211334,1.09511343804538
"yak","375","A",9,"Control","F",0.00110258700310698,1.09105746234891
"yak","375","A",5,"Rotenone","F",0.00110630780262792,0.77323706377858
"yak","375","A",3,"Rotenone","F",0.00111349754699662,0.923051744885681
"yak","375","A",9,"Rotenone","F",0.00102482702927331,1.18401925391095
"yak","375","A",7,"Rotenone","F",0.00113190641142654,0.807066185318893
"yak","375","A",6,"Control","F",0.00115727300599299,0.612452330166117
"yak","375","A",2,"Control","F",0.00111719816205037,1.03832977829487
"yak","375","A",4,"Control","F",0.00098340398889897,0.896370628918622
"yak","375","A",7,"Control","F",0.00106638065390064,0.665180014220154
"yak","375","A",6,"Rotenone","F",0.00113121278838291,0.579927797833935
"yak","375","A",4,"Rotenone","F",0.00103533052620064,1.06320096269555
"yak","375","A",2,"Rotenone","F",0.00112008165562679,0.889222623345366
"yak","375","A",3,"Control","F",0.00113606534080816,0.888258677525694
"yak","375","B",3,"Rotenone","F",0.000973065443453458,0.961713598074608
"yak","375","B",3,"Control","F",0.00110739069965984,0.738187576756512
"yak","375","B",9,"Control","F",0.00107950027872026,1.24924051451102
"yak","375","B",9,"Rotenone","F",0.00104352862020717,1.48848134777377
"yak","375","B",2,"Rotenone","F",0.00100430546515059,0.821564380264742
"yak","375","B",2,"Control","F",0.00099867801553023,0.417765496735828
"ZW133","Ore","A",9,"Rotenone","F",0.00107621396884446,1.03420457280385
"ZW133","Ore","A",2,"Rotenone","F",0.00111751082229345,1.75911432009627
"ZW133","Ore","A",9,"Control","F",0.00118080467432465,1.18840087906406
"ZW133","Ore","A",2,"Control","F",0.0011694053264546,1.5818305216211
"ZW133","Ore","B",9,"Rotenone","F",0.00114453606635878,0.82156438026474
"ZW133","Ore","B",2,"Control","F",0.00132684944410166,1.33441600413677
"ZW133","Ore","B",2,"Rotenone","F",0.00120289832229344,1.47881588447653
"ZW133","Ore","B",9,"Control","F",0.00118620050656259,1.09511343804538
"ZW09","Ore","A",3,"Control","F",0.00120376183203624,0.68140391700601
"ZW09","Ore","A",3,"Rotenone","F",0.00125790590691156,0.850560770156439
"ZW09","Ore","B",5,"Rotenone","F",0.00136461915793928,0.410782190132371
"ZW09","Ore","B",5,"Control","F",0.0011588384211334,0.653012087130761
"ZW09","Ore","B",3,"Rotenone","F",0.00124493570489134,0.265800240673887
"ZW09","Ore","B",4,"Control","F",0.00119323056232555,0.194686833430289
"ZW09","Ore","B",3,"Control","F",0.00115775130572044,0.166295003555039
"ZW09","Ore","B",4,"Rotenone","F",0.00117320964707975,0.164312876052948
"ZH42","Ore","A",4,"Control","F",0.00111724672394169,0.851754896257513
"ZH42","Ore","A",4,"Rotenone","F",0.00115866072933086,1.38699398315283
"ZH42","Ore","B",4,"Rotenone","F",0.0011018103796805,1.20335018050542
"ZH42","Ore","B",4,"Control","F",0.00136529116838615,0.665180014220154
"ZH33","Ore","A",9,"Control","F",0.00117947565466011,1.43987137224485
"ZH33","Ore","A",2,"Rotenone","F",0.00120805601460114,1.61413237063778
"ZH33","Ore","A",9,"Rotenone","F",0.00102775794494634,1.25651022864019
"ZH33","Ore","A",2,"Control","F",0.00119391611076834,1.29385624717213
"ZH33","Ore","B",2,"Control","F",0.00119605713640935,1.36686380970848
"ZH33","Ore","B",2,"Rotenone","F",0.00114004722339235,1.63346329723225
"ZH33","Ore","B",9,"Control","F",0.00116915477607475,1.09105746234891
"ZH33","Ore","B",9,"Rotenone","F",0.00110311975082765,0.768404332129965
"ZH26","Ore","A",6,"Control","F",0.00127131812383811,1.0464417296878
"ZH26","Ore","A",6,"Rotenone","F",0.00116071278838291,0.932717208182912
"ZH26","Ore","B",5,"Rotenone","F",0.00140650780262794,0.831229843561973
"ZH26","Ore","B",5,"Control","F",0.00124969080208579,0.969378191454982
"ZH23","Ore","A",6,"Rotenone","F",0.00121464982541995,0.937549939831529
"ZH23","Ore","A",6,"Control","F",0.00113313226525225,1.33847197983324
"ZH23","Ore","B",6,"Rotenone","F",0.00123658315875328,0.758738868832731
"ZH23","Ore","B",6,"Control","F",0.00120005145717144,1.07888953525952
"Ore","Ore","parental",4,"Rotenone","F",0.00126762234549247,0.439778580024067
"Ore","Ore","parental",2,"Rotenone","F",0.00108882332229345,1.78811070998797
"Ore","Ore","parental",6,"Rotenone","F",0.00131278739155752,1.2275138387485
"Ore","Ore","parental",7,"Control","F",0.00134797733499732,0.539444767629759
"Ore","Ore","parental",2,"Control","F",0.001233332777435,1.8211330877125
"Ore","Ore","parental",4,"Control","F",0.00137173561283059,0.429933423825221
"Ore","Ore","parental",6,"Control","F",0.0012373331199531,1.32224807704738
"Ore","Ore","parental",5,"Control","F",0.00122400704140202,1.25735246590395
"Ore","Ore","parental",5,"Rotenone","F",0.00122355527737541,1.05353549939831
"Ore","Ore","parental",7,"Rotenone","F",0.00131187710739723,0.463942238267148
