"Sex","Nuc","Treatment","boot"
"F","375","Control",0.100133571285819
"F","375","Control",0.072964253106366
"F","375","Control",0.0900947154519522
"F","375","Control",0.0760672446532752
"F","375","Control",0.0944828318954226
"F","375","Control",0.10374920073908
"F","375","Control",0.096398802834003
"F","375","Control",0.0877796946346249
"F","375","Control",0.086331442510667
"F","375","Control",0.101368029835213
"F","375","Control",0.0827796821901903
"F","375","Control",0.0870753950214963
"F","375","Control",0.101113631183135
"F","375","Control",0.0830738978141685
"F","375","Control",0.0929970596859018
"F","375","Control",0.0850752946229037
"F","375","Control",0.110380931546944
"F","375","Control",0.080362875556335
"F","375","Control",0.0939106743554819
"F","375","Control",0.0661764074866836
"F","375","Control",0.0884397075310718
"F","375","Control",0.0934437229356161
"F","375","Control",0.108350025072219
"F","375","Control",0.0866209437588438
"F","375","Control",0.105913825655491
"F","375","Control",0.112763383166284
"F","375","Control",0.0946813964442737
"F","375","Control",0.094414649801196
"F","375","Control",0.100870786811691
"F","375","Control",0.0814931543600736
"F","375","Control",0.117709003362466
"F","375","Control",0.0817970585257939
"F","375","Control",0.0684250121385319
"F","375","Control",0.0850027292335304
"F","375","Control",0.0775046306435976
"F","375","Control",0.0956979233088566
"F","375","Control",0.0914767592807075
"F","375","Control",0.0846564165496961
"F","375","Control",0.081056031570308
"F","375","Control",0.106950983977239
"F","375","Control",0.105066237944487
"F","375","Control",0.101792917740334
"F","375","Control",0.0855099085591022
"F","375","Control",0.0948824600557597
"F","375","Control",0.0746329874968695
"F","375","Control",0.0869398316884188
"F","375","Control",0.0776418558411634
"F","375","Control",0.0728323613018035
"F","375","Control",0.0695019119949986
"F","375","Control",0.0781316893688526
"F","375","Control",0.102776270777708
"F","375","Control",0.0811523334381433
"F","375","Control",0.101755668452996
"F","375","Control",0.0894922860268114
"F","375","Control",0.0816738766852967
"F","375","Control",0.0966462653910718
"F","375","Control",0.104676546769149
"F","375","Control",0.122271132395
"F","375","Control",0.114314208402882
"F","375","Control",0.102883680899472
"F","375","Control",0.0883047285059071
"F","375","Control",0.0721957806601949
"F","375","Control",0.0904830147774466
"F","375","Control",0.0879485656621076
"F","375","Control",0.0932303936657393
"F","375","Control",0.0875537125577195
"F","375","Control",0.0973970713977405
"F","375","Control",0.0869094158162529
"F","375","Control",0.0890063866430394
"F","375","Control",0.0706704112529475
"F","375","Control",0.0809158193860362
"F","375","Control",0.0929455624617506
"F","375","Control",0.0896620266140871
"F","375","Control",0.0928775602800957
"F","375","Control",0.0935355572686507
"F","375","Control",0.0866666418788649
"F","375","Control",0.0831496272980806
"F","375","Control",0.0741783750675525
"F","375","Control",0.0688799035784582
"F","375","Control",0.0851328157920514
"F","375","Control",0.0956513218545874
"F","375","Control",0.1209585690422
"F","375","Control",0.083237661805196
"F","375","Control",0.0813643419419774
"F","375","Control",0.0716707944169648
"F","375","Control",0.0800441169368564
"F","375","Control",0.0786985718266451
"F","375","Control",0.0720162525564458
"F","375","Control",0.0552194875598657
"F","375","Control",0.0851067556152612
"F","375","Control",0.0889261860726961
"F","375","Control",0.0864481796323379
"F","375","Control",0.0949285531459228
"F","375","Control",0.0808456932224972
"F","375","Control",0.0907722422163925
"F","375","Control",0.117937324604433
"F","375","Control",0.0791483493852297
"F","375","Control",0.0771025121740745
"F","375","Control",0.085124812246035
"F","375","Control",0.0828648462403064
"F","375","Control",0.0655509180661975
"F","375","Control",0.0986907830312477
"F","375","Control",0.08697465622458
"F","375","Control",0.104601456604454
"F","375","Control",0.0793161460916823
"F","375","Control",0.100778055737294
"F","375","Control",0.0991072851331466
"F","375","Control",0.100408978067914
"F","375","Control",0.0684422536821633
"F","375","Control",0.0861740487366463
"F","375","Control",0.0888036422289794
"F","375","Control",0.0947499739833545
"F","375","Control",0.0825338697448315
"F","375","Control",0.0737026617387848
"F","375","Control",0.0786257000786599
"F","375","Control",0.0964882100868173
"F","375","Control",0.0968898144139353
"F","375","Control",0.106550322210153
"F","375","Control",0.0818086467518179
"F","375","Control",0.0804947740191195
"F","375","Control",0.0974760096446889
"F","375","Control",0.101093827969977
"F","375","Control",0.0866884492889296
"F","375","Control",0.0976968939493745
"F","375","Control",0.104577697327997
"F","375","Control",0.0798119749996319
"F","375","Control",0.0956516414543497
"F","375","Control",0.098428338011945
"F","375","Control",0.0826934571111115
"F","375","Control",0.0773737893795616
"F","375","Control",0.0924523895508615
"F","375","Control",0.0889903237020769
"F","375","Control",0.0986114494573212
"F","375","Control",0.0781173851995067
"F","375","Control",0.0913868272477678
"F","375","Control",0.0964492604741036
"F","375","Control",0.0892399145380935
"F","375","Control",0.0746043340253923
"F","375","Control",0.0592638593798079
"F","375","Control",0.0989221423815663
"F","375","Control",0.0596285914531249
"F","375","Control",0.0851477844521015
"F","375","Control",0.098603356975522
"F","375","Control",0.0944730179026629
"F","375","Control",0.0906882619994519
"F","375","Control",0.0879996671544603
"F","375","Control",0.0797131297810758
"F","375","Control",0.103971922104131
"F","375","Control",0.0891088058826583
"F","375","Control",0.0821497353411298
"F","375","Control",0.0875627565176814
"F","375","Control",0.0721439929175514
"F","375","Control",0.0840183441801496
"F","375","Control",0.108846660617561
"F","375","Control",0.103952931902954
"F","375","Control",0.105013152443169
"F","375","Control",0.0990022972851219
"F","375","Control",0.0872786691156157
"F","375","Control",0.0766349095488
"F","375","Control",0.0854275625021572
"F","375","Control",0.0961637688049727
"F","375","Control",0.101458184958561
"F","375","Control",0.0721779115628639
"F","375","Control",0.104192223561966
"F","375","Control",0.094118656303648
"F","375","Control",0.107696739165895
"F","375","Control",0.0946534363086986
"F","375","Control",0.0998369639835476
"F","375","Control",0.103298345377812
"F","375","Control",0.0867019286769502
"F","375","Control",0.11161709964713
"F","375","Control",0.0909303453948753
"F","375","Control",0.0990582410753925
"F","375","Control",0.0610050149315095
"F","375","Control",0.102845875751164
"F","375","Control",0.0836096421375043
