"Sex","Mito","Nuc","Treatment","Y.x","Y.y","avg","diff","rank.x","rank.y"
"F","yak","Ore","Rotenone",0.00139964054007568,0.00132293977550023,0.00136129015778796,-7.67007645754469e-05,1,4
"M","Bei11","375","Control",0.00069898253869969,0.000737354723215426,0.000718168630957558,3.83721845157355e-05,28,15
"M","Bei11","375","Rotenone",0.000767290972529362,0.000774966895516669,0.000771128934023015,7.67592298730709e-06,17,12
"M","Bei11","Ore","Control",0.000805853902116403,0.000811945813686705,0.000808899857901554,6.09191157030205e-06,8,8
"M","Bei11","Ore","Rotenone",0.000841852750544663,0.000863815982304491,0.000852834366424577,2.1963231759828e-05,3,2
"M","Bei23","375","Control",0.000751599540517961,0.000354770067736149,0.000553184804127055,-0.000396829472781811,18,29
"M","Bei23","375","Rotenone",0.00077080500493658,0.000818041352492438,0.000794423178714509,4.72363475558578e-05,16,6
"M","Bei23","Ore","Control",0.000786849380804954,0.00060060004485285,0.000693724712828902,-0.000186249335952105,13,27
"M","Bei23","Ore","Rotenone",0.000811511829205368,0.000792742163231409,0.000802126996218389,-1.87696659739594e-05,5,9
"M","Bei59","375","Control",0.00069685714080954,0.000681707795694417,0.000689282468251978,-1.51493451151234e-05,30,22
"M","Bei59","375","Rotenone",0.000716963522777534,8.40186662519563e-05,0.000400491094514745,-0.000632944856525578,23,31
"M","Bei59","Ore","Control",0.000794812970743853,0.000787757621545811,0.000791285296144832,-7.05534919804229e-06,10,10
"M","ZH33","375","Control",0.000669682121971597,0.000598318152622277,0.000634000137296937,-7.13639693493196e-05,31,28
"M","ZH33","375","Rotenone",0.000711819017314529,0.000746127068006713,0.000728973042660621,3.43080506921833e-05,24,14
"M","ZH33","Ore","Control",0.000776357337379396,0.000674204806757615,0.000725281072068506,-0.000102152530621782,15,24
"M","ZH33","Ore","Rotenone",0.000801429239766081,0.000683364890504128,0.000742397065135105,-0.000118064349261953,9,21
"M","ZW133","375","Control",0.000704616207184628,0.000633553199895693,0.000669084703540161,-7.10630072889349e-05,25,25
"M","ZW133","375","Rotenone",0.000703720979532161,0.000691314437302365,0.000697517708417263,-1.24065422297962e-05,26,20
"M","ZW133","Ore","Control",0.000744622951496386,0.000700807062396714,0.00072271500694655,-4.38158890996724e-05,20,19
"M","ZW133","Ore","Rotenone",0.000810812614870507,0.000854342974603275,0.000832577794736891,4.35303597327676e-05,7,3
"M","ZW142","375","Control",0.000700790155945419,0.000615743243689403,0.000658266699817411,-8.50469122560154e-05,27,26
"M","ZW142","375","Rotenone",0.000740734462790965,0.000716008862330391,0.000728371662560678,-2.47256004605742e-05,21,16
"M","ZW142","Ore","Control",0.000789383796296296,0.000829276208147113,0.000809330002221704,3.98924118508173e-05,12,5
"M","ZW142","Ore","Rotenone",0.000825581920077972,9.26075551408455e-05,0.000459094737609409,-0.000732974364937127,4,30
"M","siI","375","Control",0.00069850857142857,0.000705314355701715,0.000701911463565143,6.80578427314472e-06,29,18
"M","siI","375","Rotenone",0.000719236709197236,0.000712262966458716,0.000715749837827976,-6.97374273851963e-06,22,17
"M","siI","Ore","Control",0.000786600877192984,0.000786157692662088,0.000786379284927536,-4.43184530895483e-07,14,11
"M","siI","Ore","Rotenone",0.000847942391372695,0.00081554392800101,0.000831743159686853,-3.23984633716853e-05,2,7
"M","yak","375","Control",0.000811298245614035,0.000679710436264199,0.000745504340939117,-0.000131587809349836,6,23
"M","yak","375","Rotenone",0.000746558702790457,0.00076579368835244,0.000756176195571448,1.92349855619831e-05,19,13
"M","yak","Ore","Control",0.000791474618736383,0.000842590991701774,0.000817032805219079,5.11163729653907e-05,11,4
"M","yak","Ore","Rotenone",0.000865755314757483,0.000872162690943853,0.000868959002850668,6.40737618637073e-06,1,1
