"Mito","Nuc","Treatment","Sex","Y","se_value"
"ZH26","Ore","Rotenone","M",0.824382175509576,0.0555637360192303
"ZH33","375","Control","F",1.01387695393961,0.0170967159776476
"ZH33","375","Control","M",0.575392248155226,0.0138558232099497
"ZH33","375","Rotenone","F",0.967779715236589,0.0487427837033025
"ZH33","375","Rotenone","M",0.688961438268378,0.0205660303462992
"ZH33","Ore","Control","F",1.18258377865599,0.0142139480813948
"ZH33","Ore","Control","M",0.669752039054041,0.0133924153647407
"ZH33","Ore","Rotenone","F",1.1088839563309,0.0254068524592694
"ZH33","Ore","Rotenone","M",0.717622700738275,0.0524432996712117
"ZH42","375","Control","F",1.0579461134411,0.0240149197543682
"ZH42","375","Control","M",0.700563417977835,0.0108499314151292
"ZH42","375","Rotenone","F",1.01795723282735,0.0107274759915876
"ZH42","375","Rotenone","M",0.655596492673901,0.0106949892112745
"ZH42","Ore","Control","F",1.24126894616392,0.0587564178790344
"ZH42","Ore","Control","M",0.71127471038913,0.0444111302612704
"ZH42","Ore","Rotenone","F",1.13023555450568,0.0844182025207759
"ZH42","Ore","Rotenone","M",0.733854612332019,0.0184945431474437
"ZW09","375","Control","F",1.23547681342352,0.0396065598444947
"ZW09","375","Control","M",0.717357876151236,0.00374828399629521
"ZW09","375","Rotenone","F",1.18435299812444,0.0373628629239357
"ZW09","375","Rotenone","M",0.760567147329792,0.0287649949194878
"ZW09","Ore","Control","F",1.17792332258902,0.0136161605443892
"ZW09","Ore","Control","M",0.777800423573908,0.0106404567917743
"ZW09","Ore","Rotenone","F",1.26191696386629,0.0286053041364596
"ZW09","Ore","Rotenone","M",0.798441700467865,0.0138155358017059
"ZW133","375","Control","F",0.997978912538476,0.0493146645201157
"ZW133","375","Control","M",0.614297798476292,0.0144428334260062
"ZW133","375","Rotenone","F",1.01368445691443,0.0407785846400924
"ZW133","375","Rotenone","M",0.668901457313791,0.0146554116007658
"ZW133","Ore","Control","F",1.20935250837743,0.0223659489037043
"ZW133","Ore","Control","M",0.659708361754173,0.0173924880620287
"ZW133","Ore","Rotenone","F",1.13030683947835,0.0265264737164858
"ZW133","Ore","Rotenone","M",0.784677402200291,0.0239288159593512
"ZW140","375","Control","F",1.22881503121064,0.0669975869997056
"ZW140","375","Control","M",0.707693632208052,0.0231062041275998
"ZW140","375","Rotenone","F",1.26534999060565,0.0206398162843311
"ZW140","375","Rotenone","M",0.814770965699252,0.0078610979241149
"ZW140","Ore","Control","F",1.2627195596887,0.0606088315435431
"ZW140","Ore","Control","M",0.796889998122837,0.0111230746035347
"ZW140","Ore","Rotenone","F",1.26458057668623,0.0182007283249677
"ZW140","Ore","Rotenone","M",0.794821278982455,0.0100011825406243
"ZW142","375","Control","F",1.1411817759279,0.0454921926491093
"ZW142","375","Control","M",0.60102710496637,0.0462002234926416
"ZW142","375","Rotenone","F",1.11874123091304,0.0324376827503392
"ZW142","375","Rotenone","M",0.688827063522041,0.0374354237262741
"ZW142","Ore","Control","F",1.14390082698692,0.0318585564950561
"ZW142","Ore","Control","M",0.73959647495998,0.0377198984240334
"ZW142","Ore","Rotenone","F",1.19500476040985,0.0417754182441414
"ZW142","Ore","Rotenone","M",0.668613011768347,0.0977997208803356
"ZW144","375","Control","F",1.18089643624064,0.0370027959804316
"ZW144","375","Control","M",0.8571662988252,0.123185193628796
"ZW144","375","Rotenone","F",1.16660447574898,0.0865396420652131
"ZW144","375","Rotenone","M",0.760981557170805,0.00835000000000097
"ZW144","Ore","Control","F",1.11319504955399,0.21434796282369
"ZW144","Ore","Control","M",0.665684659729503,0.121525664480064
"ZW144","Ore","Rotenone","F",1.35879462923727,0.0777652520566747
"ZW144","Ore","Rotenone","M",0.467360986513393,0.08637009803922
"Zim53","375","Control","F",1.107517017537,0.0713588696071148
"Zim53","375","Control","M",0.738682074321492,0.0244658825754567
"Zim53","375","Rotenone","F",1.18442442119455,0.0352001222600591
"Zim53","375","Rotenone","M",0.762335574425485,0.0122015681302253
"Zim53","Ore","Control","F",1.42447214574213,0.0675980208425873
"Zim53","Ore","Control","M",0.77892841131783,0.0199688899273868
"Zim53","Ore","Rotenone","F",1.22688842940856,0.0323623119187498
"Zim53","Ore","Rotenone","M",0.824299554889469,0.0227670405698868
"siI","375","Control","F",1.11066660386859,0.0202187598303755
"siI","375","Control","M",0.682933664470776,0.0159510361514734
"siI","375","Rotenone","F",1.11131128687569,0.0165260633471065
"siI","375","Rotenone","M",0.70069276871589,0.0215302715538646
"siI","Ore","Control","F",1.2759627680469,0.0168773981136308
"siI","Ore","Control","M",0.762772558605622,0.0170107952575809
"siI","Ore","Rotenone","F",1.26052854405349,0.0234363612415783
"siI","Ore","Rotenone","M",0.809195142334338,0.00898218780852645
"yak","375","Control","F",1.08067766612302,0.014705951131805
"yak","375","Control","M",0.684113236108619,0.0206369175296194
"yak","375","Rotenone","F",1.08111292275252,0.0135999522541091
"yak","375","Rotenone","M",0.749753091465701,0.0318851490193488
