"Mito","Nuc","Treatment","dev","weight_M","climb_F","climb_M","flight_F","flight_M","weight_F"
"ZW144","Ore","Rotenone",11.025543449712,0.00132252671568627,1.10278055555556,1.50610555555556,0.75602038722036,0.815411786795597,0.0012311119047619
"Zim53","375","Control",11.6577619842522,0.00068468956043956,3.38159722222222,3.55318333333333,0.861419854672507,0.876406752411576,0.00109544444444444
"Zim53","375","Rotenone",11.3988013350937,0.000731369963369965,3.39809444444444,3.85958333333333,0.842937954031202,0.870502942425529,0.0012042615995116
"Zim53","Ore","Control",10.5673102606613,0.000724935897435898,1.24311111111111,1.36636944444444,0.735734603017561,0.814570680004764,0.00141239957264957
"Zim53","Ore","Rotenone",10.6797506523762,0.000793333943833949,1.55999444444444,1.68778888888889,0.747928947838514,0.841041023759684,0.00124672560772561
"siI","375","Control",11.1761062987623,0.000760106622133071,2.88862575757576,3.36276262626263,0.804599002137485,0.844220686590768,0.00111068824575714
"siI","375","Rotenone",11.4549793696484,0.000697032086288694,2.91893518518519,3.29186481481481,0.828106744544082,0.861218036988824,0.00110520480097102
"siI","Ore","Control",10.6167547445044,0.000809296403491825,1.9211303030303,2.35462962962963,0.693477689667019,0.77509755477983,0.00124449040446819
"siI","Ore","Rotenone",11.0425264364184,0.000806395455192833,1.87158611111111,2.27541018518519,0.704176401255122,0.795403930313794,0.00125442205814882
"yak","375","Control",11.3582541371526,0.000708823526356683,2.98494722222222,3.16149861111111,0.819228296232086,0.847121876132672,0.00108478123561223
"yak","375","Rotenone",11.6726557604024,0.000744542617524262,2.80734398148148,3.16704490740741,0.826514878112141,0.856537881373041,0.00107500643684785
"yak","Ore","Control",10.5900352900948,0.000832302036022979,1.63721296296296,2.44026081081081,0.699260488468903,0.805233965686865,0.00130276771673222
"yak","Ore","Rotenone",11.0885124100831,0.000907702597633571,1.91971944444444,2.78462638888889,0.74747314330209,0.80746730624071,0.00132126608590037
