"Mito","Nuc","Treatment","Sex","Y","se_value"
"Bei42","375","Control","M",0.877741371384367,0.0103687906597145
"Bei42","375","Rotenone","F",0.793483858694087,0.012567795510554
"Bei42","375","Rotenone","M",0.856714697055569,0.0114828951346692
"Bei42","Ore","Control","F",0.654623656749499,0.0225156433960898
"Bei42","Ore","Control","M",0.756171877992401,0.0170766987404387
"Bei42","Ore","Rotenone","F",0.657761024842787,0.0183260209159474
"Bei42","Ore","Rotenone","M",0.72639053364453,0.0202033505727603
"Bei52","375","Control","F",0.846242345647466,0.00761273562077134
"Bei52","375","Control","M",0.882136569048172,0.00838434308669186
"Bei52","375","Rotenone","F",0.787358691176349,0.0130636219004598
"Bei52","375","Rotenone","M",0.846385350219753,0.0126991379506737
"Bei52","Ore","Control","F",0.632853157304489,0.0226968587435758
"Bei52","Ore","Control","M",0.783964740279929,0.0136987852068973
"Bei52","Ore","Rotenone","F",0.687856908797266,0.0153041808060597
"Bei52","Ore","Rotenone","M",0.789534534650937,0.0131073456037335
"Bei54","375","Control","F",0.780667369641006,0.014764046021741
"Bei54","375","Control","M",0.838041080518523,0.0142497187875382
"Bei54","375","Rotenone","F",0.798691915846446,0.0155979665557337
"Bei54","375","Rotenone","M",0.819200525105792,0.0120884655034191
"Bei54","Ore","Control","F",0.707468748087121,0.0140522061433296
"Bei54","Ore","Control","M",0.808740522693256,0.0131888787415976
"Bei54","Ore","Rotenone","F",0.748913681450281,0.0186771752695821
"Bei54","Ore","Rotenone","M",0.788761476495995,0.0138258090824375
"Bei59","375","Control","F",0.816687489871652,0.0115475075266076
"Bei59","375","Control","M",0.831708216950013,0.0120131487556024
"Bei59","375","Rotenone","F",0.819185094567353,0.0117177533567915
"Bei59","375","Rotenone","M",0.816157346419527,0.0136475287441587
"Bei59","Ore","Control","F",0.675545408623159,0.0178175631029184
"Bei59","Ore","Control","M",0.791467351725157,0.0154851356178645
"Bei59","Ore","Rotenone","F",0.713410407744813,0.0211625351791773
"Bei59","Ore","Rotenone","M",0.755791930273957,0.0166701409633333
"Ore","Ore","Control","F",0.718724267924788,0.0108655960506576
"Ore","Ore","Control","M",0.808138051100479,0.00803190292652007
"Ore","Ore","Rotenone","F",0.72563012813037,0.0109151123660067
"Ore","Ore","Rotenone","M",0.803733704422837,0.0074500039922643
"ZH23","375","Control","F",0.831098026039961,0.0142904338733626
"ZH23","375","Control","M",0.835597130365493,0.0128876818517636
"ZH23","375","Rotenone","F",0.844290351137056,0.0113564129848059
"ZH23","375","Rotenone","M",0.743142989858526,0.0220149331246009
"ZH23","Ore","Control","F",0.711104303503866,0.0209664257429148
"ZH23","Ore","Control","M",0.801268321738174,0.014056309785818
"ZH23","Ore","Rotenone","F",0.724148296689446,0.0193016788892705
"ZH23","Ore","Rotenone","M",0.807643962137276,0.00994598448335697
"ZH26","375","Control","F",0.814689812254983,0.0123678021083759
"ZH26","375","Control","M",0.861845591054278,0.0150494395850646
"ZH26","375","Rotenone","F",0.85839130395911,0.0109849872703851
"ZH26","375","Rotenone","M",0.857481813263096,0.0108534612660582
"ZH26","Ore","Control","F",0.705435894263724,0.0187508345257403
"ZH26","Ore","Control","M",0.831688215161812,0.0140654101389891
"ZH26","Ore","Rotenone","F",0.762721803568195,0.016868920482844
"ZH26","Ore","Rotenone","M",0.809357664404128,0.0115626682973929
"ZH33","375","Control","F",0.821377195693461,0.0178824146235813
"ZH33","375","Control","M",0.88485842004754,0.0172675083254386
"ZH33","375","Rotenone","F",0.842137027857716,0.0123300453013267
"ZH33","375","Rotenone","M",0.854615207664184,0.0144469103618435
"ZH33","Ore","Control","F",0.720437935719869,0.0246234484004762
"ZH33","Ore","Control","M",0.834298324304311,0.0134666033745039
"ZH33","Ore","Rotenone","F",0.683391509802707,0.020784522192125
"ZH33","Ore","Rotenone","M",0.811781105482181,0.013444370006443
"ZH42","375","Control","F",0.863967834743769,0.00922565895171546
"ZH42","375","Control","M",0.853007718559459,0.0143443137363058
"ZH42","375","Rotenone","F",0.806333405433746,0.0112019731844702
"ZH42","375","Rotenone","M",0.807398527669647,0.0158676142207571
"ZH42","Ore","Control","F",0.752560701601574,0.0166120495556792
"ZH42","Ore","Control","M",0.821000092916413,0.0123053048517261
"ZH42","Ore","Rotenone","F",0.714349497152319,0.0149834817765475
"ZH42","Ore","Rotenone","M",0.783696787833006,0.0111503397534742
"ZW09","375","Control","F",0.79097921058538,0.013986816715064
"ZW09","375","Control","M",0.863822447166576,0.00971324937438739
"ZW09","375","Rotenone","F",0.779977656289612,0.0118473255218094
"ZW09","375","Rotenone","M",0.844858684922293,0.0113511020169341
"ZW09","Ore","Control","F",0.67323149659895,0.0206226145515303
"ZW09","Ore","Control","M",0.774671490395993,0.0130754703756934
"ZW09","Ore","Rotenone","F",0.719834553954999,0.0145213352389208
"ZW09","Ore","Rotenone","M",0.790958185720764,0.0127195967817311
"ZW133","375","Control","F",0.848904431537058,0.0105212459825647
"ZW133","375","Control","M",0.893519049517796,0.0103062799683112
"ZW133","375","Rotenone","F",0.828221287507698,0.0107974645035466
"ZW133","375","Rotenone","M",0.642770514125762,0.0206333895083245
"ZW133","Ore","Control","F",0.757258977797108,0.0210075113199458
"ZW133","Ore","Control","M",0.868127239299812,0.0123198645510867
"ZW133","Ore","Rotenone","F",0.682239594645038,0.0205342813001232
"ZW133","Ore","Rotenone","M",0.77736884060987,0.0183536470179081
"ZW140","375","Control","F",0.805884067142238,0.0136702264546373
"ZW140","375","Control","M",0.84079747412283,0.0127067104651883
"ZW140","375","Rotenone","F",0.804053286411073,0.013584058228837
"ZW140","375","Rotenone","M",0.856810457733585,0.00583211364587458
"ZW140","Ore","Control","F",0.708258482712532,0.0202959155264565
"ZW140","Ore","Control","M",0.819248671352311,0.0103314479193078
"ZW140","Ore","Rotenone","F",0.705981036300161,0.0229610029164229
"ZW140","Ore","Rotenone","M",0.791854593101196,0.014806795824292
"ZW142","375","Control","F",0.762405788452633,0.0157421511283523
"ZW142","375","Control","M",0.835844970891454,0.0151632363795462
"ZW142","375","Rotenone","F",0.784201183862334,0.0158842778299399
"ZW142","375","Rotenone","M",0.82665298984995,0.0142668843054662
"ZW142","Ore","Control","F",0.688535346875759,0.0131223869498391
"ZW142","Ore","Control","M",0.764853709938721,0.0146651749347831
"ZW142","Ore","Rotenone","F",0.717737058019071,0.0192776269308233
"ZW142","Ore","Rotenone","M",0.758231231274026,0.0168104346671148
"ZW144","375","Control","F",0.824610925313339,0.0103613200872118
"ZW144","375","Control","M",0.885331935992488,0.0100699838613718
"ZW144","375","Rotenone","F",0.80804250713163,0.0121673855685724
"ZW144","375","Rotenone","M",0.831833329737348,0.0123610233190676
"ZW144","Ore","Control","F",0.708678005605918,0.0164588511981273
"ZW144","Ore","Control","M",0.786617916723977,0.0155762011485148
"ZW144","Ore","Rotenone","F",0.748787392909817,0.0193815971115624
"ZW144","Ore","Rotenone","M",0.783486909972129,0.0128243922639015
"Zim53","375","Control","F",0.856921632884283,0.011459971407161
"Zim53","375","Control","M",0.849214841985275,0.012214966425726
"Zim53","375","Rotenone","F",0.823549240053564,0.0116468270030722
"Zim53","375","Rotenone","M",0.833701303088643,0.0140210390705523
"Zim53","Ore","Control","F",0.731236381229337,0.0145636051239145
"Zim53","Ore","Control","M",0.787378769578463,0.0143409866522984
"Zim53","Ore","Rotenone","F",0.728540233860876,0.0146644661700183
"Zim53","Ore","Rotenone","M",0.804239384422798,0.0108187144589909
"siI","375","Control","F",0.801395302348535,0.00713791725908135
"siI","375","Control","M",0.849786195947041,0.00609644297939727
"siI","375","Rotenone","F",0.819114867721665,0.00603666204325291
"siI","375","Rotenone","M",0.847815356742989,0.00547934911271525
"siI","Ore","Control","F",0.693708602415689,0.00785113990174778
"siI","Ore","Control","M",0.779224577766972,0.00678570742689862
"siI","Ore","Rotenone","F",0.69695064682862,0.00738617511196215
"siI","Ore","Rotenone","M",0.782510701195886,0.00578502886958267
"yak","375","Control","F",0.816034487596958,0.00673560600981182
"yak","375","Control","M",0.850865514275599,0.00607843016515611
"yak","375","Rotenone","F",0.816286959493903,0.00621024346757531
"yak","375","Rotenone","M",0.842597894469462,0.00569327696747763
