"Mito","Nuc","Treatment","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"ZH26","Ore","Rotenone",0.868383718626675,-0.508399441299838,-0.290331510284283,0.157639498947517,0.589444365294315,-0.185851841905728,-0.626479308907034
"ZH33","375","Control",-1.96822030023055,-0.0480035633789844,-0.324053607899983,-0.406355308640395,0.673991463860866,-0.0994960380998804,0.388097888520494
"ZH33","375","Rotenone",-2.64884285417435,-0.311031211556991,0.669193125604381,-0.707520319904654,0.0433622706452798,0.245169018702177,-0.288010106665898
"ZH33","Ore","Control",1.5538591026807,0.0684026722130691,-0.568735713309651,-0.0661127073311717,0.327128772961197,-0.209669823281712,-0.110710774753814
"ZH33","Ore","Rotenone",1.40883731019015,-0.529721346737232,0.206030881769124,-1.05228877234374,0.0709119676381852,-0.446086954874317,0.214776288049262
"ZH42","375","Control",-2.29037825382521,0.481258672906497,-0.274749666944499,-0.15551468194988,0.319238841400012,0.609319510316595,0.16202942588329
"ZH42","375","Rotenone",-2.22537139924317,-0.763304276901534,-0.106387053003712,0.251922679078352,0.375807017533034,0.0796748430539533,-0.252134630188349
"ZH42","Ore","Control",1.98562490072663,0.279110587833423,-0.426915249824135,-1.31734710504114,-0.5563069700767,0.543461381291268,-0.305182036845575
"ZH42","Ore","Rotenone",0.96047757910966,-0.594719779229403,0.0469162669691318,-0.441786513863178,0.191988359822054,0.000934811066515467,0.197233802722804
"ZW09","375","Control",-0.635627280562991,0.874392030403859,-0.848079573569032,0.431165687137168,-1.11842566597081,-0.135184852740547,0.668658532333367
"ZW09","375","Rotenone",-1.18994191584367,0.497045449907993,0.130276923560643,0.476871269912419,-1.46096938390689,-0.0112792018342916,0.214138736815007
"ZW09","Ore","Control",2.5410252231312,-0.49623459543289,-0.587290273853818,0.726783160806238,1.10053669357045,-0.312978628323043,0.236725790029392
"ZW09","Ore","Rotenone",1.06571765324568,-0.293878275507674,-0.262400834327237,0.7226160324476,-0.292614768443549,-0.152105610247063,-0.213836793049405
"ZW133","375","Control",-2.39186495293607,0.30859783161476,-0.0939015764571661,-0.653794427455072,0.615579567450335,0.0293246139382078,0.106384402752318
"ZW133","375","Rotenone",-0.511395481097233,-3.09678927630329,0.370828768692818,1.81398867596896,0.667278138000241,2.53700759439441,-0.253953945183086
"ZW133","Ore","Control",1.32289468408922,2.00461818402701,0.419317501581298,0.643542096501437,0.394248516823092,-0.169913460616566,-0.307588750171895
"ZW133","Ore","Rotenone",2.18215673611017,-0.773556484802074,0.676201073645004,-0.674807294388831,-0.0859530200185244,0.0356275853360615,-0.0277757581318676
