Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock,Set_adj,Pos_adj,Y_adj
Bei23,375,M,1,3.4135,A,4,9,Rotenone,34A,2.86324861111111,2.80163090211132,3.35188229100021
Bei23,375,M,1,3.917,A,5,9,Rotenone,34A,2.86324861111111,2.80163090211132,3.85538229100021
Bei23,375,M,1,2.6726,A,6,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.61098229100021
Bei23,375,M,2,2.3485,A,1,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.28688229100021
Bei23,375,M,2,3.1932,A,2,9,Rotenone,34A,2.86324861111111,2.80163090211132,3.13158229100021
Bei23,375,M,2,2.7731,A,3,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.71148229100021
Bei23,375,M,2,3.082,A,4,9,Rotenone,34A,2.86324861111111,2.80163090211132,3.02038229100021
Bei23,375,M,2,2.4048,A,5,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.34318229100021
Bei23,375,M,2,3.0436,A,6,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.98198229100021
Bei23,375,M,3,3.1345,A,1,9,Rotenone,34A,2.86324861111111,2.80163090211132,3.07288229100021
Bei23,375,M,3,1.5865,A,2,9,Rotenone,34A,2.86324861111111,2.80163090211132,1.52488229100021
Bei23,375,M,3,3.816,A,3,9,Rotenone,34A,2.86324861111111,2.80163090211132,3.75438229100021
Bei23,375,M,3,2.7972,A,4,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.73558229100021
Bei23,375,M,3,1.1524,A,5,9,Rotenone,34A,2.86324861111111,2.80163090211132,1.09078229100021
Bei23,375,M,3,2.5927,A,6,9,Rotenone,34A,2.86324861111111,2.80163090211132,2.53108229100021
Bei23,Ore,F,1,1.9222,A,1,9,Control,24A,2.42008611111111,2.38444825581395,1.88656214470284
Bei23,Ore,F,1,1.0663,A,2,9,Control,24A,2.42008611111111,2.38444825581395,1.03066214470284
