Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
375,375,M,121223Parental,3,Parental_375R_M_121223Parental__6,32,82,4.0417,76.4214,0.9856,0,0.055,R,parental,6
Bei04,Ore,F,121223Reruns,1,Bei04_OreBC_F_121223Reruns__1,27,77,2.2,39.9164,0.9733,0,0.0412,C,B,1
Bei04,Ore,F,121223Reruns,1,Bei04_OreBC_F_121223Reruns__2,0,50,0.9986,55.7207,0.9183,0,0.0342,C,B,2
Bei04,Ore,F,121223Reruns,1,Bei04_OreBC_F_121223Reruns__3,84,134,1.2267,17.3569,0.9259,0,0.0397,C,B,3
Bei04,Ore,F,121223Reruns,1,Bei04_OreBC_F_121223Reruns__4,76,126,0.4453,14.9387,0.9144,0,0.0157,C,B,4
Bei04,Ore,F,121223Reruns,1,Bei04_OreBC_F_121223Reruns__5,43,93,1.4398,16.5277,0.9634,0,0.0318,C,B,5
Bei04,Ore,F,121223Reruns,1,Bei04_OreBC_F_121223Reruns__6,21,71,0.9616,21.9894,0.9768,0,0.0167,C,B,6
Bei04,Ore,F,121223Reruns,1,Bei04_OreBR_F_121223Reruns__1,1,51,2.4476,46.679,0.9727,0,0.0464,R,B,1
Bei04,Ore,F,121223Reruns,1,Bei04_OreBR_F_121223Reruns__2,4,54,2.7333,49.5914,0.9826,0,0.041,R,B,2
Bei04,Ore,F,121223Reruns,1,Bei04_OreBR_F_121223Reruns__3,29,79,1.831,32.8106,0.9864,0,0.0242,R,B,3
Bei04,Ore,F,121223Reruns,1,Bei04_OreBR_F_121223Reruns__4,56,106,0.6723,29.0816,0.9073,0,0.0247,R,B,4
Bei04,Ore,F,121223Reruns,1,Bei04_OreBR_F_121223Reruns__5,5,55,1.5707,49.3439,0.9679,0,0.0324,R,B,5
Bei04,Ore,F,121223Reruns,1,Bei04_OreBR_F_121223Reruns__6,86,136,2.3391,3.5268,0.9733,0,0.0438,R,B,6
Bei04,Ore,F,121223Reruns,2,Bei04_OreBC_F_121223Reruns__1,37,87,2.99,31.4498,0.9698,0,0.0596,C,B,1
Bei04,Ore,F,121223Reruns,2,Bei04_OreBC_F_121223Reruns__2,85,135,2.1114,-0.6366,0.9603,0,0.0487,C,B,2
Bei04,Ore,F,121223Reruns,2,Bei04_OreBC_F_121223Reruns__3,48,98,1.607,48.8201,0.9426,0,0.0452,C,B,3
Bei04,Ore,F,121223Reruns,2,Bei04_OreBC_F_121223Reruns__4,47,97,1.0834,6.2889,0.9616,0,0.0245,C,B,4
Bei04,Ore,F,121223Reruns,2,Bei04_OreBC_F_121223Reruns__5,76,126,1.0647,27.8569,0.9079,0,0.039,C,B,5
Bei04,Ore,F,121223Reruns,2,Bei04_OreBC_F_121223Reruns__6,56,106,2.2768,-7.7999,0.9741,0,0.0419,C,B,6
Bei04,Ore,F,121223Reruns,2,Bei04_OreBR_F_121223Reruns__1,1,51,2.7709,57.8953,0.9783,0,0.0466,R,B,1
Bei04,Ore,F,121223Reruns,2,Bei04_OreBR_F_121223Reruns__2,51,101,2.6935,48.1463,0.9661,0,0.0571,R,B,2
Bei04,Ore,F,121223Reruns,2,Bei04_OreBR_F_121223Reruns__3,45,95,1.6801,32.5035,0.9684,0,0.0343,R,B,3
Bei04,Ore,F,121223Reruns,2,Bei04_OreBR_F_121223Reruns__4,69,119,0.9869,19.8658,0.8949,0,0.0391,R,B,4
Bei04,Ore,F,121223Reruns,2,Bei04_OreBR_F_121223Reruns__5,75,125,1.075,38.3028,0.9679,0,0.0221,R,B,5
