Mito,Nuc,treatment,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,vial,build
375,375,C,M,71323375,3,375_375C_M_071323375__2,2,52,2.6482,56.1035,0.9683,0,0.0542,2,parental
375,375,C,M,71323375,3,375_375C_M_071323375__3,43,93,2.5576,99.3638,0.9377,0,0.0752,3,parental
375,375,C,M,71323375,3,375_375C_M_071323375__4,45,95,2.1557,42.5927,0.9701,0,0.0428,4,parental
375,375,C,M,71323375,3,375_375C_M_071323375__5,25,75,2.9104,41.3595,0.9732,0,0.0546,5,parental
375,375,C,M,71323375,3,375_375C_M_071323375__6,6,56,2.2288,40.9578,0.969,0,0.0451,6,parental
375,375,R,F,71223375,1,375_375_R_F_071223375_1,38,88,2.4446,48.4801,0.9809,0,0.0385,1,parental
375,375,R,F,71223375,1,375_375_R_F_071223375_2,71,121,3.2524,37.027,0.9957,0,0.024,2,parental
375,375,R,F,71223375,1,375_375_R_F_071223375_3,58,108,2.4538,33.9138,0.9738,0,0.0455,3,parental
375,375,R,F,71223375,1,375_375_R_F_071223375_4,2,52,2.5918,97.4275,0.9472,0,0.0696,4,parental
375,375,R,F,71223375,1,375_375_R_F_071223375_5,11,61,3.247,36.5086,0.9825,0,0.0488,5,parental
375,375,R,F,71223375,1,375_375_R_F_071223375_6,79,129,3.0928,-40.647,0.9911,0,0.033,6,parental
375,375,R,F,71223375,2,375_375_R_F_071223375_1,56,106,3.0829,-4.1632,0.9906,0,0.0339,1,parental
375,375,R,F,71223375,2,375_375_R_F_071223375_2,6,56,2.0268,42.1719,0.9724,0,0.0386,2,parental
375,375,R,F,71223375,2,375_375_R_F_071223375_3,52,102,2.2714,14.5327,0.9811,0,0.0356,3,parental
375,375,R,F,71223375,2,375_375_R_F_071223375_4,40,90,3.1928,37.8087,0.9916,0,0.0331,4,parental
375,375,R,F,71223375,2,375_375_R_F_071223375_5,63,113,3.3347,36.9575,0.9849,0,0.0466,5,parental
375,375,R,F,71223375,2,375_375_R_F_071223375_6,64,114,1.5381,71.1396,0.9837,0,0.0223,6,parental
375,375,R,F,71223375,3,375_375_R_F_071223375_1,24,74,2.4845,29.0366,0.9804,0,0.0397,1,parental
375,375,R,F,71223375,3,375_375_R_F_071223375_2,3,53,3.6284,31.5178,0.9742,0,0.0667,2,parental
375,375,R,F,71223375,3,375_375_R_F_071223375_3,8,58,1.6322,35.2846,0.9812,0,0.0255,3,parental
375,375,R,F,71223375,3,375_375_R_F_071223375_4,14,64,3.0424,42.4844,0.9881,0,0.0375,4,parental
375,375,R,F,71223375,3,375_375_R_F_071223375_5,19,69,2.8498,41.4362,0.9793,0,0.0468,5,parental
375,375,R,F,71223375,3,375_375_R_F_071223375_6,40,90,2.4754,44.1757,0.9788,0,0.0411,6,parental
375,375,R,F,71323375,1,375_375R_F_071323375__1,8,58,3.2087,58.242,0.9881,0,0.0397,1,parental
375,375,R,F,71323375,1,375_375R_F_071323375__2,3,53,3.5455,76.4677,0.9682,0,0.0727,2,parental
375,375,R,F,71323375,1,375_375R_F_071323375__3,26,76,4.246,34.0923,0.9928,0,0.0406,3,parental
375,375,R,F,71323375,1,375_375R_F_071323375__4,76,126,4.3454,-28.0388,0.992,0,0.044,4,parental
