Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,vial,build
Bei42,375,F,73123,1,Bei42A_375C_F_073123__4,23,73,2.704,32.0019,0.9651,0,0.0583,C,4,A
Bei42,375,F,73123,1,Bei42A_375C_F_073123__5,67,117,2.2442,54.3746,0.9924,0,0.022,C,5,A
Bei42,375,F,73123,1,Bei42A_375C_F_073123__6,26,76,2.1339,38.1942,0.9874,0,0.0272,C,6,A
Bei42,375,F,73123,1,Bei42A_375R_F_073123__1,39,89,3.0058,8.6734,0.9859,0,0.0404,R,1,A
Bei42,375,F,73123,1,Bei42A_375R_F_073123__2,49,99,2.7389,36.3092,0.9719,0,0.0527,R,2,A
Bei42,375,F,73123,1,Bei42A_375R_F_073123__3,28,78,4.5891,4.6445,0.9918,0,0.0471,R,3,A
Bei42,375,F,73123,1,Bei42A_375R_F_073123__4,11,61,3.6893,66.3664,0.9922,0,0.0369,R,4,A
Bei42,375,F,73123,1,Bei42A_375R_F_073123__5,4,54,3.7091,62.4471,0.9926,0,0.0361,R,5,A
Bei42,375,F,73123,1,Bei42A_375R_F_073123__6,18,68,3.5147,17.0656,0.9787,0,0.0585,R,6,A
Bei42,375,F,73123,2,Bei42A_375C_F_073123__1,52,102,3.134,9.3917,0.9735,0,0.0585,C,1,A
Bei42,375,F,73123,2,Bei42A_375C_F_073123__2,10,60,2.3895,45.6351,0.9841,0,0.0342,C,2,A
Bei42,375,F,73123,2,Bei42A_375C_F_073123__3,57,107,2.2905,11.2788,0.9489,0,0.0605,C,3,A
Bei42,375,F,73123,2,Bei42A_375C_F_073123__4,32,82,2.4426,10.4166,0.9804,0,0.0389,C,4,A
Bei42,375,F,73123,2,Bei42A_375C_F_073123__5,65,115,3.2969,21.4046,0.985,0,0.0458,C,5,A
Bei42,375,F,73123,2,Bei42A_375C_F_073123__6,38,88,3.1541,27.8712,0.9819,0,0.0483,C,6,A
Bei42,375,F,73123,2,Bei42A_375R_F_073123__1,65,115,2.7527,22.2191,0.9743,0,0.0505,R,1,A
Bei42,375,F,73123,2,Bei42A_375R_F_073123__2,19,69,3.6466,32.4118,0.9872,0,0.0468,R,2,A
Bei42,375,F,73123,2,Bei42A_375R_F_073123__3,56,106,4.9147,-43.9364,0.9826,0,0.0737,R,3,A
Bei42,375,F,73123,2,Bei42A_375R_F_073123__4,18,68,2.4235,56.2309,0.9897,0,0.0278,R,4,A
Bei42,375,F,73123,2,Bei42A_375R_F_073123__5,5,55,3.2769,62.4822,0.9782,0,0.0553,R,5,A
Bei42,375,F,73123,2,Bei42A_375R_F_073123__6,34,84,5.3032,-16.8983,0.9924,0,0.0521,R,6,A
Bei42,375,F,73123,3,Bei42A_375C_F_073123__1,16,66,2.5164,42.539,0.9816,0,0.0389,C,1,A
Bei42,375,F,73123,3,Bei42A_375C_F_073123__2,51,101,2.7488,20.5083,0.9845,0,0.0389,C,2,A
Bei42,375,F,73123,3,Bei42A_375C_F_073123__3,23,73,3.1437,24.8956,0.9736,0,0.0585,C,3,A
Bei42,375,F,73123,3,Bei42A_375C_F_073123__4,42,92,2.6426,30.7712,0.989,0,0.0313,C,4,A
Bei42,375,F,73123,3,Bei42A_375C_F_073123__5,88,138,2.7079,84.7185,0.9708,0,0.0531,C,5,A
Bei42,375,F,73123,3,Bei42A_375C_F_073123__6,51,101,3.866,3.094,0.9798,0,0.0626,C,6,A
Bei42,375,F,73123,3,Bei42A_375R_F_073123__1,45,95,2.7574,27.4012,0.9903,0,0.0307,R,1,A
Bei42,375,F,73123,3,Bei42A_375R_F_073123__2,6,56,1.8648,72.0829,0.9595,0,0.0435,R,2,A
Bei42,375,F,73123,3,Bei42A_375R_F_073123__3,61,111,3.5239,-8.5987,0.9831,0,0.0521,R,3,A
Bei42,375,F,73123,3,Bei42A_375R_F_073123__4,29,79,3.9645,23.903,0.9756,0,0.0709,R,4,A
Bei42,375,F,73123,3,Bei42A_375R_F_073123__5,50,100,3.9299,15.8182,0.9788,0,0.0653,R,5,A
Bei42,375,F,73123,3,Bei42A_375R_F_073123__6,71,121,4.7691,-40.847,0.9899,0,0.0542,R,6,A
Bei42,375,F,80123,1,Bei42_375C_F_080123__1,6,56,3.1522,59.8061,0.9869,0,0.0408,C,1,B
Bei42,375,F,80123,1,Bei42_375C_F_080123__2,26,76,2.6026,38.4261,0.9751,0,0.047,C,2,B
Bei42,375,F,80123,1,Bei42_375C_F_080123__3,18,68,2.8818,51.9131,0.9906,0,0.0316,C,3,B
Bei42,375,F,80123,1,Bei42_375C_F_080123__4,63,113,2.9651,41.1705,0.9275,0,0.0949,C,4,B
Bei42,375,F,80123,1,Bei42_375C_F_080123__5,64,114,3.0956,18.1851,0.9955,0,0.0233,C,5,B
Bei42,375,F,80123,1,Bei42_375C_F_080123__6,37,87,3.8074,30.2279,0.9818,0,0.0584,C,6,B
Bei42,375,F,80123,1,Bei42_375R_F_080123__1,66,116,3.1525,-5.3897,0.9915,0,0.0329,R,1,B
Bei42,375,F,80123,1,Bei42_375R_F_080123__2,92,142,2.8679,-15.5469,0.9639,0,0.0636,R,2,B
Bei42,375,F,80123,1,Bei42_375R_F_080123__3,91,141,2.3701,77.6683,0.9787,0,0.0394,R,3,B
Bei42,375,F,80123,1,Bei42_375R_F_080123__4,21,71,3.0591,50.8519,0.9903,0,0.034,R,4,B
Bei42,375,F,80123,1,Bei42_375R_F_080123__5,15,65,3.0947,62.6006,0.9974,0,0.0178,R,5,B
Bei42,375,F,80123,1,Bei42_375R_F_080123__6,92,142,2.7682,0.1913,0.9839,0,0.0404,R,6,B
Bei42,375,F,80123,2,Bei42_375C_F_080123__1,29,79,3.6113,36.3535,0.9938,0,0.032,C,1,B
Bei42,375,F,80123,2,Bei42_375C_F_080123__2,30,80,2.99,29.6459,0.9927,0,0.0288,C,2,B
Bei42,375,F,80123,2,Bei42_375C_F_080123__3,0,50,3.3615,71.2068,0.974,0,0.062,C,3,B
Bei42,375,F,80123,2,Bei42_375C_F_080123__4,21,71,4.4878,65.4897,0.9982,0,0.0214,C,4,B
Bei42,375,F,80123,2,Bei42_375C_F_080123__5,62,112,4.2775,5.4557,0.9888,0,0.0513,C,5,B
Bei42,375,F,80123,2,Bei42_375C_F_080123__6,10,60,4.774,57.9407,0.9758,0,0.0849,C,6,B
Bei42,375,F,80123,2,Bei42_375R_F_080123__1,11,61,2.4507,38.7907,0.9766,0,0.0428,R,1,B
Bei42,375,F,80123,2,Bei42_375R_F_080123__2,56,106,2.9866,23.3556,0.9917,0,0.0308,R,2,B
Bei42,375,F,80123,2,Bei42_375R_F_080123__3,54,104,3.5806,73.6761,0.9992,0,0.0112,R,3,B
Bei42,375,F,80123,2,Bei42_375R_F_080123__4,18,68,3.9587,57.2045,0.9865,0,0.0521,R,4,B
Bei42,375,F,80123,2,Bei42_375R_F_080123__5,51,101,3.3059,93.2133,0.9963,0,0.0226,R,5,B
Bei42,375,F,80123,2,Bei42_375R_F_080123__6,73,123,3.1963,-26.324,0.9742,0,0.0588,R,6,B
Bei42,375,F,80123,3,Bei42_375C_F_080123__1,82,132,4.1234,15.3985,0.985,0,0.0573,C,1,B
Bei42,375,F,80123,3,Bei42_375C_F_080123__2,37,87,3.0643,21.4971,0.9855,0,0.0419,C,2,B
Bei42,375,F,80123,3,Bei42_375C_F_080123__3,28,78,3.2753,55.2087,0.9937,0,0.0292,C,3,B
Bei42,375,F,80123,3,Bei42_375C_F_080123__4,45,95,4.5995,31.5685,0.9893,0,0.0538,C,4,B
Bei42,375,F,80123,3,Bei42_375C_F_080123__5,13,63,3.2837,57.7203,0.971,0,0.0642,C,5,B
Bei42,375,F,80123,3,Bei42_375C_F_080123__6,4,54,4.9738,43.7554,0.9963,0,0.0343,C,6,B
