Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
46A,0.959554,19,0.972846,M,Control,9,yak_375,yak,375,0.000699578947368419,A,-0.282473932686258,0.000853247961816306,0.000743674151688568,0.000590005137240681
46A,0.975126,12,0.982718,M,Control,7,yak_375,yak,375,0.000632666666666661,A,-0.560742278625658,0.000689681637806636,0.000743674151688568,0.000686659180548593
46A,0.997136,9,1.00636,F,Control,6,yak_375,yak,375,0.00102488888888888,A,-0.742805656461558,0.0010485245014245,0.00118354565556564,0.00115991004303002
46A,1.000672,18,1.021942,F,Control,2,yak_375,yak,375,0.00118166666666666,A,0.0118551875181127,0.00124479621146398,0.00118354565556564,0.00112041611076832
46A,0.966232,13,0.974706,M,Control,6,yak_375,yak,375,0.000651846153846152,A,-0.480980475300029,0.000692333333333334,0.000743674151688568,0.000703186972201386
46A,1.01894,7,1.025478,F,Rotenone,5,yak_375,yak,375,0.00093399999999999,A,-1.18030570633779,0.000992498852998854,0.00116980665562678,0.00111130780262792
46A,1.011642,12,1.018586,M,Rotenone,5,yak_375,yak,375,0.000578666666666672,A,-0.785312275689437,0.000662522181522185,0.000751470968198374,0.000667615453342861
46A,1.031494,19,1.051274,F,Rotenone,1,yak_375,yak,375,0.00104105263157895,A,-0.665000345828515,0.00104212393115141,0.00116980665562678,0.00116873535605432
46A,1.01899,13,1.032332,F,Control,4,yak_375,yak,375,0.00102630769230769,A,-0.735976146561258,0.00124465448717949,0.00118354565556564,0.00096519886069384
46A,1.035158,18,1.0499,M,Rotenone,3,yak_375,yak,375,0.000819000000000002,A,0.214162834699546,0.000820384213025441,0.000751470968198374,0.000750086755172935
46A,1.004046,19,1.018686,M,Rotenone,9,yak_375,yak,375,0.000770526315789473,A,0.012575147276745,0.000812438967070082,0.000751470968198374,0.000709558316917765
46A,0.956532,13,0.965058,M,Control,4,yak_375,yak,375,0.000655846153846148,A,-0.464345660702726,0.000764884626484624,0.000743674151688568,0.000634635679050092
46A,1.002364,20,1.017682,M,Rotenone,9,yak_375,yak,375,0.000765899999999997,A,-0.00666432907990236,0.000812438967070082,0.000751470968198374,0.000704932001128289
46A,0.996468,12,1.009032,F,Control,7,yak_375,yak,375,0.00104699999999999,A,-0.63637227024473,0.00117147308247308,0.00118354565556564,0.00105907257309255
46A,1.004312,8,1.012894,F,Rotenone,6,yak_375,yak,375,0.00107274999999998,A,-0.512422836798792,0.00109826053391053,0.00116980665562678,0.00114429612171623
46A,1.024018,6,1.02953,F,Rotenone,5,yak_375,yak,375,0.00091866666666666,A,-1.25411378321176,0.000992498852998854,0.00116980665562678,0.00109597446929459
46A,1.003714,15,1.01314,M,Rotenone,7,yak_375,yak,375,0.000628399999999996,A,-0.578486080862793,0.000720505357142854,0.000751470968198374,0.000659365611055516
