Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
Ore,1.010632,6,1.016794,F,Rotenone,2
Ore,1.023318,8,1.03134,F,Rotenone,2
375,1.019976,8,1.027026,F,Rotenone,2
375,1.014366,10,1.025042,F,Rotenone,2
10A,1.019248,12,1.029674,F,Rotenone,2
10A,1.010368,18,1.024952,F,Rotenone,2
4A,0.995906,18,1.009518,M,Rotenone,2
4A,1.011304,,,M,Rotenone,2
4B,1.00982,21,1.027004,M,Rotenone,2
4B,1.011344,19,1.028226,M,Rotenone,2
7A,1.000994,12,1.010708,M,Rotenone,2
7A,1.005378,18,1.019718,M,Rotenone,2
7B,0.998444,20,1.00307,M,Rotenone,2
7B,1.005584,6,1.01016,M,Rotenone,2
13A,1.000422,19,1.014082,M,Rotenone,2
13A,1.005946,18,1.017774,M,Rotenone,2
13B,1.008036,25,1.025296,M,Rotenone,2
13B,1,19,1.013758,M,Rotenone,2
16A,0.997498,19,1.011882,M,Rotenone,2
16A,1.000052,17,1.012692,M,Rotenone,2
16B,1.006496,20,1.020468,M,Rotenone,2
16B,1.004094,13,1.01257,M,Rotenone,2
24A,1.004736,18,1.017442,M,Rotenone,2
24A,0.998976,18,1.011872,M,Rotenone,2
24B,1.002,15,1.014216,M,Rotenone,2
24B,1.000556,11,1.009366,M,Rotenone,2
26A,1.004642,11,1.01417,M,Rotenone,2
26A,0.998136,20,1.014322,M,Rotenone,2
26B,1.008154,16,1.02111,M,Rotenone,2
26B,1.005624,17,1.019848,M,Rotenone,2
34A,0.997484,18,1.009624,M,Rotenone,2
34A,1.000172,19,1.014762,M,Rotenone,2
34B,1.00211,20,1.019782,M,Rotenone,2
34B,0.998228,20,1.014486,M,Rotenone,2
36A,0.998274,19,1.011694,M,Rotenone,2
36A,1.009528,14,1.022392,M,Rotenone,2
36B,0.998574,19,1.012318,M,Rotenone,2
36B,1.00173,20,1.01409,M,Rotenone,2
41A,0.997324,20,1.014368,M,Rotenone,2
41A,1.004602,19,1.02095,M,Rotenone,2
41B,0.99827,20,1.015072,M,Rotenone,2
41B,1.006568,19,1.02175,M,Rotenone,2
42A,1.004776,16,1.022378,M,Rotenone,2
42A,1.002084,19,1.018722,M,Rotenone,2
42B,1.007564,19,1.021738,M,Rotenone,2
42B,1.001318,16,1.017378,M,Rotenone,2
45A,0.999172,20,1.013724,M,Rotenone,2
45A,0.99821,20,1.008198,M,Rotenone,2
45B,1.004602,16,1.018758,M,Rotenone,2
45B,1.00484,18,1.019882,M,Rotenone,2
46A,1.005676,19,1.021678,M,Rotenone,2
46A,0.995636,19,1.008932,M,Rotenone,2
46B,0.998198,17,1.010912,M,Rotenone,2
46B,1.005682,10,1.019912,M,Rotenone,2
Ore,0.998316,8,1.013318,M,Rotenone,2
Ore,0.995436,20,1.009432,M,Rotenone,2
375,0.999996,20,1.007522,M,Rotenone,2
375,0.996422,15,1.002918,M,Rotenone,2
10A,1.000112,20,1.014498,M,Rotenone,2
10A,1.000538,20,1.015258,M,Rotenone,2
