Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
Ore,1.012208,12,1.019666,F,Rotenone,1
2A,1.000694,18,1.019644,F,Control,1
29B,0.994382,19,1.01954,F,Control,1
10A,1.001718,16,1.018836,F,Control,1
2B,1.00287,19,1.018568,F,Control,1
2B,1.039266,19,1.018492,M,Rotenone,1
41B,1.004874,13,1.018394,F,Rotenone,1
45B,1.00001,19,1.018012,F,Control,1
20B,0.997052,17,1.01753,F,Control,1
11B,1.000362,17,1.017444,F,Rotenone,1
46B,0.999146,16,1.016574,F,Control,1
Ore,1.004124,13,1.016556,M,Rotenone,1
2A,1.023118,20,1.016284,M,Rotenone,1
19B,1.023098,17,1.016266,M,Rotenone,1
10B,0.999694,14,1.016262,F,Control,1
29B,1.015188,18,1.016216,M,Rotenone,1
41B,1.038838,20,1.015724,M,Rotenone,1
11B,0.999772,18,1.015478,M,Rotenone,1
41A,1.016958,4,1.015048,M,Rotenone,1
30A,0.998896,14,1.015022,F,Control,1
20A,0.994456,16,1.014984,F,Control,1
11A,0.993728,18,1.014738,F,Control,1
1B,1.00221,15,1.014678,F,Control,1
1A,1.000328,14,1.014646,F,Rotenone,1
42A,0.995722,17,1.014534,F,Control,1
10A,1.023744,19,1.014478,M,Rotenone,1
11A,1.017332,21,1.014448,M,Rotenone,1
2A,1.030496,19,1.014406,M,Rotenone,1
41A,0.999056,13,1.014378,F,Control,1
10B,1.030496,21,1.014372,M,Rotenone,1
46A,1.002346,16,1.014242,F,Control,1
20A,1.020678,19,1.013998,M,Rotenone,1
20A,0.9956,19,1.01398,F,Control,1
Ore,0.996184,15,1.013846,F,Control,1
30A,1.014648,21,1.013828,M,Rotenone,1
19A,1.01629,14,1.013788,M,Rotenone,1
375,0.996978,14,1.013484,F,Control,1
41B,0.998836,14,1.013204,F,Control,1
42B,0.996978,13,1.013156,F,Control,1
19B,1.016902,19,1.013126,M,Rotenone,1
1B,0.996484,10,1.012946,F,Control,1
29A,1.012708,20,1.012942,M,Rotenone,1
11B,1.004292,17,1.012888,M,Rotenone,1
19A,1.01833,17,1.012804,M,Rotenone,1
30B,0.996752,17,1.01277,F,Control,1
30A,1.015188,19,1.012512,M,Rotenone,1
46A,0.996478,17,1.012122,F,Control,1
41A,1.023546,20,1.011962,M,Rotenone,1
19B,0.998968,7,1.011852,F,Control,1
20B,1.020786,17,1.011508,M,Rotenone,1
2B,0.993412,18,1.011132,F,Control,1
29A,1.0221,17,1.010938,M,Rotenone,1
19A,1.00201,7,1.010712,F,Control,1
42B,0.995618,11,1.0107,F,Control,1
2A,0.993646,16,1.010462,F,Control,1
45A,0.994616,13,1.010422,F,Control,1
19A,0.996228,16,1.010314,F,Control,1
11B,1.000634,9,1.009748,F,Control,1
29B,1.014648,17,1.009716,M,Rotenone,1
10B,0.996368,11,1.009214,F,Control,1
1A,0.99974,17,1.008696,M,Rotenone,1
1A,0.996658,15,1.006912,F,Control,1
45A,0.993476,16,1.006424,F,Control,1
11B,0.996952,12,1.006142,F,Control,1
30A,0.99354,11,1.005962,F,Control,1
41B,0.993532,9,1.004796,F,Control,1
10A,1.072506,19,1.003866,M,Rotenone,1
30B,0.99932,14,1.003394,F,Control,1
41A,0.998952,17,1.003054,F,Control,1
1A,0.996916,6,1.002424,F,Control,1
30B,0.969964,19,1.001025,M,Rotenone,1
45B,0.986302,20,1.000865,M,Control,1
29B,0.985286,19,0.997572,M,Control,1
11A,0.978108,15,0.991714,M,Control,1
1B,0.974284,18,0.990208,M,Control,1
30B,0.945621,20,0.988561,M,Control,1
42B,0.970692,20,0.987678,M,Control,1
30A,0.97792,12,0.987378,M,Control,1
10A,0.974754,18,0.986314,M,Control,1
2A,0.97023,16,0.984748,M,Control,1
42B,0.971304,17,0.9845,M,Control,1
41A,0.971706,16,0.984194,M,Control,1
1B,0.971026,19,0.983964,M,Control,1
29A,0.974874,16,0.983704,M,Control,1
11A,0.971594,19,0.983624,M,Control,1
41B,0.970628,17,0.983404,M,Control,1
19B,0.970738,17,0.983116,M,Control,1
46A,0.971228,19,0.982696,M,Control,1
45A,0.965952,20,0.982026,M,Control,1
Ore,0.967894,19,0.981974,M,Control,1
2A,0.971534,18,0.981892,M,Control,1
30B,0.968216,17,0.981619,M,Control,1
1A,0.97134,15,0.98096,M,Control,1
46B,0.966936,20,0.980496,M,Control,1
Ore,0.96575,16,0.980386,M,Control,1
29A,0.966642,20,0.980202,M,Control,1
10B,0.95958,15,0.980172,M,Control,1
11B,0.974432,14,0.97947,M,Control,1
1A,0.97471,15,0.979192,M,Control,1
19B,0.970926,9,0.978156,M,Control,1
42A,0.966516,16,0.977838,M,Control,1
45A,0.964256,20,0.977732,M,Control,1
375,0.966214,20,0.977468,M,Control,1
41B,0.965428,16,0.977426,M,Control,1
46B,0.963492,18,0.977398,M,Control,1
20B,0.95948,19,0.975612,M,Control,1
19A,0.964236,19,0.974838,M,Control,1
10A,0.959574,19,0.973779,M,Control,1
42A,0.959284,19,0.973658,M,Control,1
2B,0.957312,17,0.972668,M,Control,1
2B,0.959476,17,0.972634,M,Control,1
19A,0.956538,17,0.971916,M,Control,1
41A,0.958234,15,0.97093,M,Control,1
46A,0.959544,18,0.970898,M,Control,1
10B,0.959206,12,0.970552,M,Control,1
375,0.955842,20,0.97021,M,Control,1
20A,0.958994,20,0.969754,M,Control,1
45B,0.956382,19,0.969206,M,Control,1
30A,0.952992,18,0.968764,M,Control,1
20B,0.951044,20,0.965712,M,Control,1
29B,0.950376,18,0.962856,M,Control,1
20A,0.947958,16,0.962604,M,Control,1
11B,0.950906,20,0.959024,M,Control,1
